task_id,fold_id,horizon,origin_index,segment,reason,origin_id,cutoff_time,history_start,target_end_index,segment_lo,segment_hi
Climate_h4_f2,2,4,1014,decision,target_crosses_boundary,Climate:h4:f2:o1014,2019-06-11T00:00:00,2018-06-12T00:00:00,1018,763,1017
Climate_h4_f2,2,4,1016,decision,target_crosses_boundary,Climate:h4:f2:o1016,2019-06-25T00:00:00,2018-06-26T00:00:00,1020,763,1017
Climate_h4_f2,2,4,1017,test,retained,Climate:h4:f2:o1017,2019-07-02T00:00:00,2018-07-03T00:00:00,1021,1017,1144
Climate_h4_f2,2,4,1140,test,retained,Climate:h4:f2:o1140,2021-11-09T00:00:00,2020-11-10T00:00:00,1144,1017,1144
Climate_h4_f2,2,4,1141,test,target_crosses_boundary,Climate:h4:f2:o1141,2021-11-16T00:00:00,2020-11-17T00:00:00,1145,1017,1144
Climate_h4_f2,2,4,1143,test,target_crosses_boundary,Climate:h4:f2:o1143,2021-11-30T00:00:00,2020-12-01T00:00:00,1147,1017,1144
SocialGood_h3_f1,1,3,24,train,retained,SocialGood:h3:f1:o24,1950-01-01T00:00:00,1948-01-01T00:00:00,27,0,366
SocialGood_h3_f1,1,3,363,train,retained,SocialGood:h3:f1:o363,1978-04-01T00:00:00,1976-04-01T00:00:00,366,0,366
SocialGood_h3_f1,1,3,364,train,target_crosses_boundary,SocialGood:h3:f1:o364,1978-05-01T00:00:00,1976-05-01T00:00:00,367,0,366
SocialGood_h3_f1,1,3,365,train,target_crosses_boundary,SocialGood:h3:f1:o365,1978-06-01T00:00:00,1976-06-01T00:00:00,368,0,366
SocialGood_h3_f1,1,3,366,calibration,retained,SocialGood:h3:f1:o366,1978-07-01T00:00:00,1976-07-01T00:00:00,369,366,458
SocialGood_h3_f1,1,3,455,calibration,retained,SocialGood:h3:f1:o455,1985-12-01T00:00:00,1983-12-01T00:00:00,458,366,458
SocialGood_h3_f1,1,3,456,calibration,target_crosses_boundary,SocialGood:h3:f1:o456,1986-01-01T00:00:00,1984-01-01T00:00:00,459,366,458
SocialGood_h3_f1,1,3,457,calibration,target_crosses_boundary,SocialGood:h3:f1:o457,1986-02-01T00:00:00,1984-02-01T00:00:00,460,366,458
SocialGood_h3_f1,1,3,458,decision,retained,SocialGood:h3:f1:o458,1986-03-01T00:00:00,1984-03-01T00:00:00,461,458,641
SocialGood_h3_f1,1,3,638,decision,retained,SocialGood:h3:f1:o638,2001-03-01T00:00:00,1999-03-01T00:00:00,641,458,641
SocialGood_h3_f1,1,3,639,decision,target_crosses_boundary,SocialGood:h3:f1:o639,2001-04-01T00:00:00,1999-04-01T00:00:00,642,458,641
SocialGood_h3_f1,1,3,640,decision,target_crosses_boundary,SocialGood:h3:f1:o640,2001-05-01T00:00:00,1999-05-01T00:00:00,643,458,641
SocialGood_h3_f1,1,3,641,test,retained,SocialGood:h3:f1:o641,2001-06-01T00:00:00,1999-06-01T00:00:00,644,641,732
SocialGood_h3_f1,1,3,729,test,retained,SocialGood:h3:f1:o729,2008-10-01T00:00:00,2006-10-01T00:00:00,732,641,732
SocialGood_h3_f1,1,3,730,test,target_crosses_boundary,SocialGood:h3:f1:o730,2008-11-01T00:00:00,2006-11-01T00:00:00,733,641,732
SocialGood_h3_f1,1,3,731,test,target_crosses_boundary,SocialGood:h3:f1:o731,2008-12-01T00:00:00,2006-12-01T00:00:00,734,641,732
Environment_h7_f2,2,7,56,train,retained,Environment:h7:f2:o56,1980-02-26T00:00:00,1980-01-01T00:00:00,63,0,7989
Environment_h7_f2,2,7,7982,train,retained,Environment:h7:f2:o7982,2001-11-08T00:00:00,2001-09-13T00:00:00,7989,0,7989
Environment_h7_f2,2,7,7983,train,target_crosses_boundary,Environment:h7:f2:o7983,2001-11-09T00:00:00,2001-09-14T00:00:00,7990,0,7989
Environment_h7_f2,2,7,7988,train,target_crosses_boundary,Environment:h7:f2:o7988,2001-11-14T00:00:00,2001-09-19T00:00:00,7995,0,7989
Environment_h7_f2,2,7,7989,calibration,retained,Environment:h7:f2:o7989,2001-11-15T00:00:00,2001-09-20T00:00:00,7996,7989,9587
Environment_h7_f2,2,7,9580,calibration,retained,Environment:h7:f2:o9580,2006-03-25T00:00:00,2006-01-28T00:00:00,9587,7989,9587
Environment_h7_f2,2,7,9581,calibration,target_crosses_boundary,Environment:h7:f2:o9581,2006-03-26T00:00:00,2006-01-29T00:00:00,9588,7989,9587
Environment_h7_f2,2,7,9586,calibration,target_crosses_boundary,Environment:h7:f2:o9586,2006-03-31T00:00:00,2006-02-03T00:00:00,9593,7989,9587
Environment_h7_f2,2,7,9587,decision,retained,Environment:h7:f2:o9587,2006-04-01T00:00:00,2006-02-04T00:00:00,9594,9587,12783
Environment_h7_f2,2,7,12776,decision,retained,Environment:h7:f2:o12776,2014-12-24T00:00:00,2014-10-29T00:00:00,12783,9587,12783
Environment_h7_f2,2,7,12777,decision,target_crosses_boundary,Environment:h7:f2:o12777,2014-12-25T00:00:00,2014-10-30T00:00:00,12784,9587,12783
Environment_h7_f2,2,7,12782,decision,target_crosses_boundary,Environment:h7:f2:o12782,2014-12-30T00:00:00,2014-11-04T00:00:00,12789,9587,12783
Environment_h7_f2,2,7,12783,test,retained,Environment:h7:f2:o12783,2014-12-31T00:00:00,2014-11-05T00:00:00,12790,12783,14381
Environment_h7_f2,2,7,14374,test,retained,Environment:h7:f2:o14374,2019-05-10T00:00:00,2019-03-15T00:00:00,14381,12783,14381
Environment_h7_f2,2,7,14375,test,target_crosses_boundary,Environment:h7:f2:o14375,2019-05-11T00:00:00,2019-03-16T00:00:00,14382,12783,14381
Environment_h7_f2,2,7,14380,test,target_crosses_boundary,Environment:h7:f2:o14380,2019-05-16T00:00:00,2019-03-21T00:00:00,14387,12783,14381
