start_date,end_date,OT
1986-07-01,1986-07-31,132.924856
1986-08-01,1986-08-31,144.088662
1986-09-01,1986-09-30,139.6933952
1986-10-01,1986-10-31,136.1910876
1986-11-01,1986-11-30,137.6625264
1986-12-01,1986-12-31,137.3675716
1987-01-01,1987-01-31,130.620512
1987-02-01,1987-02-28,128.6062912
1987-03-01,1987-03-31,126.4429248
1987-04-01,1987-04-30,124.838605
1987-05-01,1987-05-31,123.2568428
1987-06-01,1987-06-30,121.884657
1987-07-01,1987-07-31,119.9991864
1987-08-01,1987-08-31,123.388214
1987-09-01,1987-09-30,122.5653976
1987-10-01,1987-10-31,123.0200188
1987-11-01,1987-11-30,119.561109
1987-12-01,1987-12-31,118.9630352
1988-01-01,1988-01-31,119.2587638
1988-02-01,1988-02-29,117.2203504
1988-03-01,1988-03-31,120.362984
1988-04-01,1988-04-30,121.2307926
1988-05-01,1988-05-31,126.364757
1988-06-01,1988-06-30,134.732654
1988-07-01,1988-07-31,146.3912884
1988-08-01,1988-08-31,148.071178
1988-09-01,1988-09-30,148.1555038
1988-10-01,1988-10-31,144.568045
1988-11-01,1988-11-30,141.2297488
1988-12-01,1988-12-31,141.6085104
1989-01-01,1989-01-31,142.441643
1989-02-01,1989-02-28,140.5259184
1989-03-01,1989-03-31,141.5946202
1989-04-01,1989-04-30,145.5409952
1989-05-01,1989-05-31,151.398214
1989-06-01,1989-06-30,158.1133846
1989-07-01,1989-07-31,155.3472036
1989-08-01,1989-08-31,152.176598
1989-09-01,1989-09-30,146.4646338
1989-10-01,1989-10-31,144.66489
1989-11-01,1989-11-30,140.381244
1989-12-01,1989-12-31,140.2829128
1990-01-01,1990-01-31,139.8430278
1990-02-01,1990-02-28,142.616444
1990-03-01,1990-03-31,148.343028
1990-04-01,1990-04-30,143.4922484
1990-05-01,1990-05-31,147.9143296
1990-06-01,1990-06-30,148.4474272
1990-07-01,1990-07-31,149.960894
1990-08-01,1990-08-31,147.2178242
1990-09-01,1990-09-30,148.5534434
1990-10-01,1990-10-31,145.2224144
1990-11-01,1990-11-30,143.381864
1990-12-01,1990-12-31,141.06048
1991-01-01,1991-01-31,144.31192
1991-02-01,1991-02-28,144.175024
1991-03-01,1991-03-31,142.7791984
1991-04-01,1991-04-30,142.165684
1991-05-01,1991-05-31,144.9524772
1991-06-01,1991-06-30,144.61
1991-07-01,1991-07-31,144.89
1991-08-01,1991-08-31,146.6
1991-09-01,1991-09-30,143.47
1991-10-01,1991-10-31,140.71
1991-11-01,1991-11-30,140.95
1991-12-01,1991-12-31,141.52
1992-01-01,1992-01-31,143.95
1992-02-01,1992-02-29,138.64
1992-03-01,1992-03-31,135.65
1992-04-01,1992-04-30,138.22
1992-05-01,1992-05-31,137.82
1992-06-01,1992-06-30,142.28
1992-07-01,1992-07-31,144.17
1992-08-01,1992-08-31,144.86
1992-09-01,1992-09-30,142.93
1992-10-01,1992-10-31,144.04
1992-11-01,1992-11-30,143.72
1992-12-01,1992-12-31,145.11
1993-01-01,1993-01-31,142.66
1993-02-01,1993-02-28,141.34
1993-03-01,1993-03-31,143.87
1993-04-01,1993-04-30,144.15
1993-05-01,1993-05-31,145.0
1993-06-01,1993-06-30,143.21
1993-07-01,1993-07-31,143.7
1993-08-01,1993-08-31,141.36
1993-09-01,1993-09-30,142.9
1993-10-01,1993-10-31,145.92
1993-11-01,1993-11-30,144.87
1993-12-01,1993-12-31,149.09
1994-01-01,1994-01-31,146.17
1994-02-01,1994-02-28,146.55
1994-03-01,1994-03-31,146.09
1994-04-01,1994-04-30,145.76
1994-05-01,1994-05-31,146.47
1994-06-01,1994-06-30,148.66
1994-07-01,1994-07-31,147.68
1994-08-01,1994-08-31,144.56
1994-09-01,1994-09-30,146.53
1994-10-01,1994-10-31,142.5
1994-11-01,1994-11-30,140.56
1994-12-01,1994-12-31,138.69
1995-01-01,1995-01-31,139.27
1995-02-01,1995-02-28,141.58
1995-03-01,1995-03-31,145.45
1995-04-01,1995-04-30,144.1
1995-05-01,1995-05-31,143.72
1995-06-01,1995-06-30,142.6
1995-07-01,1995-07-31,141.35
1995-08-01,1995-08-31,142.24
1995-09-01,1995-09-30,147.52
1995-10-01,1995-10-31,145.79
1995-11-01,1995-11-30,150.16
1995-12-01,1995-12-31,145.32
1996-01-01,1996-01-31,146.72
1996-02-01,1996-02-29,149.65
1996-03-01,1996-03-31,144.5
1996-04-01,1996-04-30,146.78
1996-05-01,1996-05-31,149.48
1996-06-01,1996-06-30,150.92
1996-07-01,1996-07-31,150.19
1996-08-01,1996-08-31,152.16
1996-09-01,1996-09-30,157.79
1996-10-01,1996-10-31,152.65
1996-11-01,1996-11-30,151.28
1996-12-01,1996-12-31,153.96
1997-01-01,1997-01-31,152.13
1997-02-01,1997-02-28,152.5
1997-03-01,1997-03-31,149.02
1997-04-01,1997-04-30,148.52
1997-05-01,1997-05-31,151.56
1997-06-01,1997-06-30,151.54
1997-07-01,1997-07-31,153.08
1997-08-01,1997-08-31,149.2
1997-09-01,1997-09-30,152.32
1997-10-01,1997-10-31,148.43
1997-11-01,1997-11-30,151.37
1997-12-01,1997-12-31,147.91
1998-01-01,1998-01-31,153.02
1998-02-01,1998-02-28,150.23
1998-03-01,1998-03-31,149.93
1998-04-01,1998-04-30,151.33
1998-05-01,1998-05-31,151.19
1998-06-01,1998-06-30,154.7
1998-07-01,1998-07-31,152.35
1998-08-01,1998-08-31,156.08
1998-09-01,1998-09-30,154.43
1998-10-01,1998-10-31,158.44
1998-11-01,1998-11-30,157.47
1998-12-01,1998-12-31,155.64
1999-01-01,1999-01-31,154.85
1999-02-01,1999-02-28,153.68
1999-03-01,1999-03-31,155.45
1999-04-01,1999-04-30,155.09
1999-05-01,1999-05-31,151.18
1999-06-01,1999-06-30,155.08
1999-07-01,1999-07-31,156.18
1999-08-01,1999-08-31,154.62
1999-09-01,1999-09-30,155.8780764
1999-10-01,1999-10-31,155.23
1999-11-01,1999-11-30,156.1
1999-12-01,1999-12-31,149.5
2000-01-01,2000-01-31,154.29
2000-02-01,2000-02-29,150.67
2000-03-01,2000-03-31,155.21
2000-04-01,2000-04-30,156.2
2000-05-01,2000-05-31,156.68
2000-06-01,2000-06-30,155.1
2000-07-01,2000-07-31,155.82
2000-08-01,2000-08-31,158.25
2000-09-01,2000-09-30,156.82
2000-10-01,2000-10-31,156.25
2000-11-01,2000-11-30,151.45
2000-12-01,2000-12-31,157.15
2001-01-01,2001-01-31,157.25
2001-02-01,2001-02-28,154.95
2001-03-01,2001-03-31,155.96
2001-04-01,2001-04-30,156.55
2001-05-01,2001-05-31,155.02
2001-06-01,2001-06-30,154.81
2001-07-01,2001-07-31,158.5
2001-08-01,2001-08-31,161.4553566
2001-09-01,2001-09-30,157.4859172
2001-10-01,2001-10-31,161.69
2001-11-01,2001-11-30,159.03
2001-12-01,2001-12-31,159.85
2002-01-01,2002-01-31,159.15
2002-02-01,2002-02-28,161.95
2002-03-01,2002-03-31,159.37
2002-04-01,2002-04-30,161.31
2002-05-01,2002-05-31,159.76
2002-06-01,2002-06-30,158.93
2002-07-01,2002-07-31,160.3
2002-08-01,2002-08-31,163.62
2002-09-01,2002-09-30,164.52
2002-10-01,2002-10-31,163.23
2002-11-01,2002-11-30,165.85
2002-12-01,2002-12-31,164.2
2003-01-01,2003-01-31,159.28
2003-02-01,2003-02-28,157.99
2003-03-01,2003-03-31,159.92
2003-04-01,2003-04-30,162.2
2003-05-01,2003-05-31,160.43
2003-06-01,2003-06-30,159.224922698348
2003-07-01,2003-07-31,162.032345373773
2003-08-01,2003-08-31,161.068306885793
2003-09-01,2003-09-30,161.131393087117
2003-10-01,2003-10-31,164.649967563251
2003-11-01,2003-11-30,163.230204609403
2003-12-01,2003-12-31,164.600239457311
2004-01-01,2004-01-31,165.575212246574
2004-02-01,2004-02-29,166.569964132559
2004-03-01,2004-03-31,166.876984425657
2004-04-01,2004-04-30,167.113878020627
2004-05-01,2004-05-31,174.274684097624
2004-06-01,2004-06-30,173.604682812657
2004-07-01,2004-07-31,176.184321593399
2004-08-01,2004-08-31,177.359881214514
2004-09-01,2004-09-30,178.279077010989
2004-10-01,2004-10-31,178.878251065031
2004-11-01,2004-11-30,173.343936091499
2004-12-01,2004-12-31,175.332480500917
2005-01-01,2005-01-31,171.93
2005-02-01,2005-02-28,173.39
2005-03-01,2005-03-31,172.09
2005-04-01,2005-04-30,173.02
2005-05-01,2005-05-31,172.26
2005-06-01,2005-06-30,174.35
2005-07-01,2005-07-31,173.04
2005-08-01,2005-08-31,174.34
2005-09-01,2005-09-30,177.52
2005-10-01,2005-10-31,175.5
2005-11-01,2005-11-30,178.21
2005-12-01,2005-12-31,173.18
2006-01-01,2006-01-31,169.52404668342
2006-02-01,2006-02-28,154.1487508
2006-03-01,2006-03-31,163.469826095798
2006-04-01,2006-04-30,164.423937851518
2006-05-01,2006-05-31,151.5207012
2006-06-01,2006-06-30,149.5857604
2006-07-01,2006-07-31,153.3753634
2006-08-01,2006-08-31,156.648016
2006-09-01,2006-09-30,153.9879392
2006-10-01,2006-10-31,154.7133196
2006-11-01,2006-11-30,156.9072168
2006-12-01,2006-12-31,156.4838386
2007-01-01,2007-01-31,154.1575298
2007-02-01,2007-02-28,161.4163292
2007-03-01,2007-03-31,162.1404408
2007-04-01,2007-04-30,165.1371132
2007-05-01,2007-05-31,165.6846044
2007-06-01,2007-06-30,165.2659174
2007-07-01,2007-07-31,170.139357
2007-08-01,2007-08-31,167.351711
2007-09-01,2007-09-30,166.6265962
2007-10-01,2007-10-31,165.1841226
2007-11-01,2007-11-30,168.944759
2007-12-01,2007-12-31,169.28747
2008-01-01,2008-01-31,169.4171036
2008-02-01,2008-02-29,172.7571058
2008-03-01,2008-03-31,173.168554
2008-04-01,2008-04-30,173.2424176
2008-05-01,2008-05-31,174.1240584
2008-06-01,2008-06-30,176.2918898
2008-07-01,2008-07-31,175.511135
2008-08-01,2008-08-31,174.1379356
2008-09-01,2008-09-30,175.6414158
2008-10-01,2008-10-31,174.005199
2008-11-01,2008-11-30,179.3128816
2008-12-01,2008-12-31,178.110772
2009-01-01,2009-01-31,183.6631846
2009-02-01,2009-02-28,180.160637
2009-03-01,2009-03-31,171.5518214
2009-04-01,2009-04-30,181.6935954
2009-05-01,2009-05-31,185.6795232
2009-06-01,2009-06-30,182.5495194
2009-07-01,2009-07-31,174.8797508
2009-08-01,2009-08-31,176.9175078
2009-09-01,2009-09-30,176.0476656
2009-10-01,2009-10-31,173.456788
2009-11-01,2009-11-30,174.3157924
2009-12-01,2009-12-31,174.6797494
2010-01-01,2010-01-31,173.0778786
2010-02-01,2010-02-28,173.0267814
2010-03-01,2010-03-31,167.803967
2010-04-01,2010-04-30,165.2834544
2010-05-01,2010-05-31,175.4540298
2010-06-01,2010-06-30,176.6493428
2010-07-01,2010-07-31,178.5128844
2010-08-01,2010-08-31,174.6585698
2010-09-01,2010-09-30,178.5718902
2010-10-01,2010-10-31,180.0262006
2010-11-01,2010-11-30,181.761359
2010-12-01,2010-12-31,178.5278312
2011-01-01,2011-01-31,175.7709138
2011-02-01,2011-02-28,177.5734544
2011-03-01,2011-03-31,178.508172
2011-04-01,2011-04-30,174.4091004
2011-05-01,2011-05-31,170.066244
2011-06-01,2011-06-30,175.520283
2011-07-01,2011-07-31,174.0359222
2011-08-01,2011-08-31,178.728915
2011-09-01,2011-09-30,176.7019294
2011-10-01,2011-10-31,180.7178794
2011-11-01,2011-11-30,179.334259
2011-12-01,2011-12-31,179.315310626775
2012-01-01,2012-01-31,185.472459267163
2012-02-01,2012-02-29,182.670133533498
2012-03-01,2012-03-31,190.42021230268
2012-04-01,2012-04-30,188.664984253312
2012-05-01,2012-05-31,186.897146932127
2012-06-01,2012-06-30,191.021810102725
2012-07-01,2012-07-31,192.088897492728
2012-08-01,2012-08-31,190.615099781845
2012-09-01,2012-09-30,185.55337332995
2012-10-01,2012-10-31,186.965164180757
2012-11-01,2012-11-30,193.484690745001
2012-12-01,2012-12-31,197.147871314561
2013-01-01,2013-01-31,193.95554339543
2013-02-01,2013-02-28,194.785893096294
2013-03-01,2013-03-31,189.995113958636
2013-04-01,2013-04-30,191.241723111961
2013-05-01,2013-05-31,194.708736505108
2013-06-01,2013-06-30,199.188666778058
2013-07-01,2013-07-31,197.586795406466
2013-08-01,2013-08-31,200.207027051269
2013-09-01,2013-09-30,200.549237940742
2013-10-01,2013-10-31,203.097528417285
2013-11-01,2013-11-30,195.574910968511
2013-12-01,2013-12-31,196.707246778341
2014-01-01,2014-01-31,193.841928425394
2014-02-01,2014-02-28,195.294023686247
2014-03-01,2014-03-31,194.729807421684
2014-04-01,2014-04-30,192.907863806749
2014-05-01,2014-05-31,194.61366934358
2014-06-01,2014-06-30,194.857753804384
2014-07-01,2014-07-31,195.589074164657
2014-08-01,2014-08-31,197.044680350667
2014-09-01,2014-09-30,197.123507917038
2014-10-01,2014-10-31,198.986816421706
2014-11-01,2014-11-30,200.79913387223
2014-12-01,2014-12-31,199.433797961797
2015-01-01,2015-01-31,197.842341953172
2015-02-01,2015-02-28,197.796222590227
2015-03-01,2015-03-31,198.729136770233
2015-04-01,2015-04-30,199.733342665093
2015-05-01,2015-05-31,193.183912017407
2015-06-01,2015-06-30,198.692764518882
2015-07-01,2015-07-31,196.334491509052
2015-08-01,2015-08-31,196.029247796208
2015-09-01,2015-09-30,194.99827757768
2015-10-01,2015-10-31,196.538951607338
2015-11-01,2015-11-30,196.985538424661
2015-12-01,2015-12-31,193.14616632087
2016-01-01,2016-01-31,192.66047089575
2016-02-01,2016-02-29,187.421060859499
2016-03-01,2016-03-31,188.725939044871
2016-04-01,2016-04-30,192.131098067108
2016-05-01,2016-05-31,189.806227783356
2016-06-01,2016-06-30,191.54746778014
2016-07-01,2016-07-31,189.916101395763
2016-08-01,2016-08-31,191.13384253491
2016-09-01,2016-09-30,190.822404856261
2016-10-01,2016-10-31,189.309080813747
2016-11-01,2016-11-30,189.40551288703
2016-12-01,2016-12-31,183.831393951005
2017-01-01,2017-01-31,186.066406798929
2017-02-01,2017-02-28,187.159264948333
2017-03-01,2017-03-31,187.817986732238
2017-04-01,2017-04-30,188.652272009137
2017-05-01,2017-05-31,187.694182381629
2017-06-01,2017-06-30,186.784396497238
2017-07-01,2017-07-31,186.315469450375
2017-08-01,2017-08-31,188.564348518199
2017-09-01,2017-09-30,187.421600321248
2017-10-01,2017-10-31,187.428896084381
2017-11-01,2017-11-30,187.147795618612
2017-12-01,2017-12-31,189.726883915999
2018-01-01,2018-01-31,181.710860910118
2018-02-01,2018-02-28,186.051022709124
2018-03-01,2018-03-31,186.711870353977
2018-04-01,2018-04-30,189.987831001879
2018-05-01,2018-05-31,189.228647249475
2018-06-01,2018-06-30,188.417319811687
2018-07-01,2018-07-31,189.195323858573
2018-08-01,2018-08-31,188.406947958964
2018-09-01,2018-09-30,186.400159248981
2018-10-01,2018-10-31,188.914593625299
2018-11-01,2018-11-30,185.326153165534
2018-12-01,2018-12-31,187.077571357876
2019-01-01,2019-01-31,185.189056916355
2019-02-01,2019-02-28,187.562168442905
2019-03-01,2019-03-31,185.471513770449
2019-04-01,2019-04-30,188.393141143791
2019-05-01,2019-05-31,188.499577805661
2019-06-01,2019-06-30,187.613849412492
2019-07-01,2019-07-31,187.320158979241
2019-08-01,2019-08-31,186.45916895802
2019-09-01,2019-09-30,186.104476176997
2019-10-01,2019-10-31,187.929038730795
2019-11-01,2019-11-30,189.518629293928
2019-12-01,2019-12-31,191.770022422534
2020-01-01,2020-01-31,187.030936968583
2020-02-01,2020-02-29,188.2372623333
2020-03-01,2020-03-31,192.790680090807
2020-04-01,2020-04-30,203.092243038219
2020-05-01,2020-05-31,204.497048157904
2020-06-01,2020-06-30,207.882678481534
2020-07-01,2020-07-31,203.244749463861
2020-08-01,2020-08-31,201.04705417446
2020-09-01,2020-09-30,200.1160561716
2020-10-01,2020-10-31,199.853331648476
2020-11-01,2020-11-30,201.686942515756
2020-12-01,2020-12-31,200.693534232004
2021-01-01,2021-01-31,202.846956998092
2021-02-01,2021-02-28,199.012017022978
2021-03-01,2021-03-31,200.645387887115
2021-04-01,2021-04-30,201.874646378665
2021-05-01,2021-05-31,204.11241612211
2021-06-01,2021-06-30,205.642655871087
2021-07-01,2021-07-31,208.178325796027
2021-08-01,2021-08-31,214.868321360033
2021-09-01,2021-09-30,216.121921844424
2021-10-01,2021-10-31,217.360424426863
2021-11-01,2021-11-30,221.037033719168
2021-12-01,2021-12-31,221.5509621428
2022-01-01,2022-01-31,221.666726054699
2022-02-01,2022-02-28,226.952458639737
2022-03-01,2022-03-31,231.657030108883
2022-04-01,2022-04-30,239.303742518709
2022-05-01,2022-05-31,242.186901872479
2022-06-01,2022-06-30,245.441707217413
2022-07-01,2022-07-31,245.319882080533
2022-08-01,2022-08-31,254.166955760503
2022-09-01,2022-09-30,254.173933287431
2022-10-01,2022-10-31,253.519871143702
2022-11-01,2022-11-30,252.104074862977
2022-12-01,2022-12-31,247.02711126286
2023-01-01,2023-01-31,242.334120008082
2023-02-01,2023-02-28,241.666462426704
2023-03-01,2023-03-31,241.546129664209
2023-04-01,2023-04-30,246.135333677844
2023-05-01,2023-05-31,245.386133126834
2023-06-01,2023-06-30,250.39453590573
2023-07-01,2023-07-31,250.149395073567
2023-08-01,2023-08-31,252.587533001156
2023-09-01,2023-09-30,246.162284130495
2023-10-01,2023-10-31,247.639569987472
2023-11-01,2023-11-30,243.691939648209
2023-12-01,2023-12-31,244.235446852391
2024-01-01,2024-01-31,242.350564006333
2024-02-01,2024-02-29,237.414961146284
2024-03-01,2024-03-31,243.267957494361
2024-04-01,2024-04-30,241.076619580479
