start_date,end_date,OT
2003-04-15,2003-04-21,45.21
2003-04-22,2003-04-28,46.7
2003-04-29,2003-05-05,42.38
2003-05-06,2003-05-12,45.78
2003-05-13,2003-05-19,50.04
2003-05-20,2003-05-26,51.13
2003-05-27,2003-06-02,51.74
2003-06-03,2003-06-09,48.97
2003-06-10,2003-06-16,50.02
2003-06-17,2003-06-23,50.27
2003-06-24,2003-06-30,50.27
2003-07-01,2003-07-07,53.93
2003-07-08,2003-07-14,57.18
2003-07-15,2003-07-21,51.29
2003-07-22,2003-07-28,53.05
2003-07-29,2003-08-04,53.41
2003-08-05,2003-08-11,51.64
2003-08-12,2003-08-18,50.21
2003-08-19,2003-08-25,45.33
2003-08-26,2003-09-01,43.51
2003-09-02,2003-09-08,45.79
2003-09-09,2003-09-15,45.44
2003-09-16,2003-09-22,47.29
2003-09-23,2003-09-29,46.88
2003-09-30,2003-10-06,48.06
2003-10-07,2003-10-13,50.09
2003-10-14,2003-10-20,49.33
2003-10-21,2003-10-27,47.73
2003-10-28,2003-11-03,46.26
2003-11-04,2003-11-10,47.27
2003-11-11,2003-11-17,46.21
2003-11-18,2003-11-24,47.49
2003-11-25,2003-12-01,48.59
2003-12-02,2003-12-08,49.29
2003-12-09,2003-12-15,48.77
2003-12-16,2003-12-22,50.8
2003-12-23,2003-12-29,50.53
2003-12-30,2004-01-05,50.82
2004-01-06,2004-01-12,48.35
2004-01-13,2004-01-19,49.65
2004-01-20,2004-01-26,51.37
2004-01-27,2004-02-02,51.97
2004-02-03,2004-02-09,51.97
2004-02-10,2004-02-16,50.78
2004-02-17,2004-02-23,50.81
2004-02-24,2004-03-01,51.75
2004-03-02,2004-03-08,52.52
2004-03-09,2004-03-15,55.32
2004-03-16,2004-03-22,55.59
2004-03-23,2004-03-29,52.42
2004-03-30,2004-04-05,51.68
2004-04-06,2004-04-12,51.09
2004-04-13,2004-04-19,49.98
2004-04-20,2004-04-26,47.96
2004-04-27,2004-05-03,49.85
2004-05-04,2004-05-10,51.13
2004-05-11,2004-05-17,50.73
2004-05-18,2004-05-24,51.76
2004-05-25,2004-05-31,48.83
2004-06-01,2004-06-07,50.99
2004-06-08,2004-06-14,53.84
2004-06-15,2004-06-21,56.65
2004-06-22,2004-06-28,59.0
2004-06-29,2004-07-05,57.91
2004-07-06,2004-07-12,57.32
2004-07-13,2004-07-19,56.64
2004-07-20,2004-07-26,54.74
2004-07-27,2004-08-02,53.71
2004-08-03,2004-08-09,52.57
2004-08-10,2004-08-16,53.99
2004-08-17,2004-08-23,56.49
2004-08-24,2004-08-30,58.14
2004-08-31,2004-09-06,59.13
2004-09-07,2004-09-13,60.4
2004-09-14,2004-09-20,59.33
2004-09-21,2004-09-27,58.68
2004-09-28,2004-10-04,60.74
2004-10-05,2004-10-11,56.61
2004-10-12,2004-10-18,59.84
2004-10-19,2004-10-25,61.81
2004-10-26,2004-11-01,61.81
2004-11-02,2004-11-08,63.39
2004-11-09,2004-11-15,63.54
2004-11-16,2004-11-22,62.97
2004-11-23,2004-11-29,63.56
2004-11-30,2004-12-06,65.9
2004-12-07,2004-12-13,66.42
2004-12-14,2004-12-20,67.13
2004-12-21,2004-12-27,65.79
2004-12-28,2005-01-03,67.59
2005-01-04,2005-01-10,69.09
2005-01-11,2005-01-17,66.66
2005-01-18,2005-01-24,67.41
2005-01-25,2005-01-31,67.27
2005-02-01,2005-02-07,67.34
2005-02-08,2005-02-14,67.62
2005-02-15,2005-02-21,67.23
2005-02-22,2005-02-28,66.84
2005-03-01,2005-03-07,67.92
2005-03-08,2005-03-14,66.49
2005-03-15,2005-03-21,66.28
2005-03-22,2005-03-28,66.63
2005-03-29,2005-04-04,68.7
2005-04-05,2005-04-11,69.38
2005-04-12,2005-04-18,72.58
2005-04-19,2005-04-25,70.13
2005-04-26,2005-05-02,70.18
2005-05-03,2005-05-09,62.91
2005-05-10,2005-05-16,60.28
2005-05-17,2005-05-23,66.31
2005-05-24,2005-05-30,62.64
2005-05-31,2005-06-06,62.2
2005-06-07,2005-06-13,62.43
2005-06-14,2005-06-20,66.23
2005-06-21,2005-06-27,66.02
2005-06-28,2005-07-04,58.93
2005-07-05,2005-07-11,60.02
2005-07-12,2005-07-18,62.07
2005-07-19,2005-07-25,59.73
2005-07-26,2005-08-01,56.87
2005-08-02,2005-08-08,56.22
2005-08-09,2005-08-15,56.5
2005-08-16,2005-08-22,58.56
2005-08-23,2005-08-29,61.49
2005-08-30,2005-09-05,62.39
2005-09-06,2005-09-12,60.49
2005-09-13,2005-09-19,57.49
2005-09-20,2005-09-26,57.29
2005-09-27,2005-10-03,59.57
2005-10-04,2005-10-10,59.91
2005-10-11,2005-10-17,63.91
2005-10-18,2005-10-24,64.31
2005-10-25,2005-10-31,61.07
2005-11-01,2005-11-07,55.0
2005-11-08,2005-11-14,54.85
2005-11-15,2005-11-21,54.95
2005-11-22,2005-11-28,56.83
2005-11-29,2005-12-05,58.88
2005-12-06,2005-12-12,60.63
2005-12-13,2005-12-19,59.54
2005-12-20,2005-12-26,59.88
2005-12-27,2006-01-02,61.36
2006-01-03,2006-01-09,62.52
2006-01-10,2006-01-16,60.39
2006-01-17,2006-01-23,58.34
2006-01-24,2006-01-30,60.22
2006-01-31,2006-02-06,60.37
2006-02-07,2006-02-13,59.73
2006-02-14,2006-02-20,60.51
2006-02-21,2006-02-27,60.36
2006-02-28,2006-03-06,57.25
2006-03-07,2006-03-13,55.57
2006-03-14,2006-03-20,57.03
2006-03-21,2006-03-27,51.39
2006-03-28,2006-04-03,51.43
2006-04-04,2006-04-10,50.22
2006-04-11,2006-04-17,53.14
2006-04-18,2006-04-24,51.58
2006-04-25,2006-05-01,52.57
2006-05-02,2006-05-08,52.66
2006-05-09,2006-05-15,51.68
2006-05-16,2006-05-22,56.43
2006-05-23,2006-05-29,58.54
2006-05-30,2006-06-05,55.21
2006-06-06,2006-06-12,55.84
2006-06-13,2006-06-19,51.54
2006-06-20,2006-06-26,51.75
2006-06-27,2006-07-03,52.73
2006-07-04,2006-07-10,52.67
2006-07-11,2006-07-17,48.7
2006-07-18,2006-07-24,46.87
2006-07-25,2006-07-31,45.95
2006-08-01,2006-08-07,46.58
2006-08-08,2006-08-14,45.06
2006-08-15,2006-08-21,44.75
2006-08-22,2006-08-28,45.99
2006-08-29,2006-09-04,47.0
2006-09-05,2006-09-11,48.96
2006-09-12,2006-09-18,51.69
2006-09-19,2006-09-25,52.49
2006-09-26,2006-10-02,54.01
2006-10-03,2006-10-09,53.54
2006-10-10,2006-10-16,54.18
2006-10-17,2006-10-23,55.45
2006-10-24,2006-10-30,57.99
2006-10-31,2006-11-06,59.8
2006-11-07,2006-11-13,63.4
2006-11-14,2006-11-20,62.3
2006-11-21,2006-11-27,63.63
2006-11-28,2006-12-04,64.25
2006-12-05,2006-12-11,61.31
2006-12-12,2006-12-18,59.98
2006-12-19,2006-12-25,50.32
2006-12-26,2007-01-01,51.48
2007-01-02,2007-01-08,53.56
2007-01-09,2007-01-15,55.04
2007-01-16,2007-01-22,57.58
2007-01-23,2007-01-29,60.63
2007-01-30,2007-02-05,59.29
2007-02-06,2007-02-12,56.98
2007-02-13,2007-02-19,56.7
2007-02-20,2007-02-26,54.99
2007-02-27,2007-03-05,57.65
2007-03-06,2007-03-12,58.49
2007-03-13,2007-03-19,51.73
2007-03-20,2007-03-26,50.78
2007-03-27,2007-04-02,47.19
2007-04-03,2007-04-09,52.11
2007-04-10,2007-04-16,51.67
2007-04-17,2007-04-23,53.97
2007-04-24,2007-04-30,53.63
2007-05-01,2007-05-07,53.61
2007-05-08,2007-05-14,54.45
2007-05-15,2007-05-21,52.6
2007-05-22,2007-05-28,52.34
2007-05-29,2007-06-04,51.1
2007-06-05,2007-06-11,50.41
2007-06-12,2007-06-18,52.01
2007-06-19,2007-06-25,50.37
2007-06-26,2007-07-02,49.42
2007-07-03,2007-07-09,49.21
2007-07-10,2007-07-16,46.39
2007-07-17,2007-07-23,45.56
2007-07-24,2007-07-30,42.98
2007-07-31,2007-08-06,41.65
2007-08-07,2007-08-13,39.89
2007-08-14,2007-08-20,40.69
2007-08-21,2007-08-27,41.16
2007-08-28,2007-09-03,43.48
2007-09-04,2007-09-10,43.83
2007-09-11,2007-09-17,46.16
2007-09-18,2007-09-24,47.96
2007-09-25,2007-10-01,47.87
2007-10-02,2007-10-08,47.38
2007-10-09,2007-10-15,47.53
2007-10-16,2007-10-22,48.02
2007-10-23,2007-10-29,51.17
2007-10-30,2007-11-05,55.08
2007-11-06,2007-11-12,52.4
2007-11-13,2007-11-19,48.66
2007-11-20,2007-11-26,46.47
2007-11-27,2007-12-03,49.97
2007-12-04,2007-12-10,48.08
2007-12-11,2007-12-17,50.5
2007-12-18,2007-12-24,52.23
2007-12-25,2007-12-31,52.22
2008-01-01,2008-01-07,49.27
2008-01-08,2008-01-14,47.79
2008-01-15,2008-01-21,46.72
2008-01-22,2008-01-28,48.3
2008-01-29,2008-02-04,47.79
2008-02-05,2008-02-11,48.18
2008-02-12,2008-02-18,45.87
2008-02-19,2008-02-25,48.47
2008-02-26,2008-03-03,51.42
2008-03-04,2008-03-10,52.92
2008-03-11,2008-03-17,53.96
2008-03-18,2008-03-24,53.99
2008-03-25,2008-03-31,54.17
2008-04-01,2008-04-07,53.15
2008-04-08,2008-04-14,55.89
2008-04-15,2008-04-21,56.47
2008-04-22,2008-04-28,56.48
2008-04-29,2008-05-05,54.41
2008-05-06,2008-05-12,54.89
2008-05-13,2008-05-19,55.92
2008-05-20,2008-05-26,57.25
2008-05-27,2008-06-02,62.92
2008-06-03,2008-06-09,61.64
2008-06-10,2008-06-16,56.33
2008-06-17,2008-06-23,59.8
2008-06-24,2008-06-30,59.53
2008-07-01,2008-07-07,59.9
2008-07-08,2008-07-14,59.57
2008-07-15,2008-07-21,59.58
2008-07-22,2008-07-28,56.05
2008-07-29,2008-08-04,57.11
2008-08-05,2008-08-11,55.37
2008-08-12,2008-08-18,56.58
2008-08-19,2008-08-25,57.07
2008-08-26,2008-09-01,55.41
2008-09-02,2008-09-08,56.33
2008-09-09,2008-09-15,59.59
2008-09-16,2008-09-22,59.18
2008-09-23,2008-09-29,58.65
2008-09-30,2008-10-06,57.13
2008-10-07,2008-10-13,57.66
2008-10-14,2008-10-20,60.47
2008-10-21,2008-10-27,59.1
2008-10-28,2008-11-03,61.76
2008-11-04,2008-11-10,59.94
2008-11-11,2008-11-17,61.17
2008-11-18,2008-11-24,60.31
2008-11-25,2008-12-01,59.24
2008-12-02,2008-12-08,56.63
2008-12-09,2008-12-15,56.51
2008-12-16,2008-12-22,56.85
2008-12-23,2008-12-29,57.89
2008-12-30,2009-01-05,61.14
2009-01-06,2009-01-12,60.73
2009-01-13,2009-01-19,61.17
2009-01-20,2009-01-26,61.2
2009-01-27,2009-02-02,58.18
2009-02-03,2009-02-09,59.23
2009-02-10,2009-02-16,55.37
2009-02-17,2009-02-23,57.03
2009-02-24,2009-03-02,56.82
2009-03-03,2009-03-09,54.05
2009-03-10,2009-03-16,54.48
2009-03-17,2009-03-23,54.67
2009-03-24,2009-03-30,52.09
2009-03-31,2009-04-06,57.67
2009-04-07,2009-04-13,60.99
2009-04-14,2009-04-20,61.96
2009-04-21,2009-04-27,62.13
2009-04-28,2009-05-04,60.89
2009-05-05,2009-05-11,66.05
2009-05-12,2009-05-18,68.94
2009-05-19,2009-05-25,69.89
2009-05-26,2009-06-01,72.43
2009-06-02,2009-06-08,69.92
2009-06-09,2009-06-15,69.17
2009-06-16,2009-06-22,69.4
2009-06-23,2009-06-29,71.9
2009-06-30,2009-07-06,69.36
2009-07-07,2009-07-13,67.85
2009-07-14,2009-07-20,66.42
2009-07-21,2009-07-27,65.22
2009-07-28,2009-08-03,67.91
2009-08-04,2009-08-10,69.02
2009-08-11,2009-08-17,66.45
2009-08-18,2009-08-24,67.95
2009-08-25,2009-08-31,69.94
2009-09-01,2009-09-07,70.83
2009-09-08,2009-09-14,69.12
2009-09-15,2009-09-21,70.62
2009-09-22,2009-09-28,70.54
2009-09-29,2009-10-05,68.41
2009-10-06,2009-10-12,70.15
2009-10-13,2009-10-19,71.61
2009-10-20,2009-10-26,73.48
2009-10-27,2009-11-02,76.45
2009-11-03,2009-11-09,77.86
2009-11-10,2009-11-16,77.21
2009-11-17,2009-11-23,78.26
2009-11-24,2009-11-30,76.34
2009-12-01,2009-12-07,76.36
2009-12-08,2009-12-14,76.33
2009-12-15,2009-12-21,74.27
2009-12-22,2009-12-28,74.39
2009-12-29,2010-01-04,71.94
2010-01-05,2010-01-11,71.94
2010-01-12,2010-01-18,67.6
2010-01-19,2010-01-25,67.85
2010-01-26,2010-02-01,70.2
2010-02-02,2010-02-08,70.89
2010-02-09,2010-02-15,70.84
2010-02-16,2010-02-22,69.78
2010-02-23,2010-03-01,70.12
2010-03-02,2010-03-08,70.51
2010-03-09,2010-03-15,68.89
2010-03-16,2010-03-22,70.51
2010-03-23,2010-03-29,71.16
2010-03-30,2010-04-05,70.78
2010-04-06,2010-04-12,69.46
2010-04-13,2010-04-19,66.9
2010-04-20,2010-04-26,67.16
2010-04-27,2010-05-03,65.89
2010-05-04,2010-05-10,67.27
2010-05-11,2010-05-17,67.8
2010-05-18,2010-05-24,71.91
2010-05-25,2010-05-31,73.52
2010-06-01,2010-06-07,70.67
2010-06-08,2010-06-14,75.23
2010-06-15,2010-06-21,74.39
2010-06-22,2010-06-28,71.32
2010-06-29,2010-07-05,71.48
2010-07-06,2010-07-12,73.0
2010-07-13,2010-07-19,72.69
2010-07-20,2010-07-26,71.08
2010-07-27,2010-08-02,73.48
2010-08-03,2010-08-09,75.51
2010-08-10,2010-08-16,74.82
2010-08-17,2010-08-23,72.92
2010-08-24,2010-08-30,74.24
2010-08-31,2010-09-06,70.4
2010-09-07,2010-09-13,72.54
2010-09-14,2010-09-20,70.57
2010-09-21,2010-09-27,66.36
2010-09-28,2010-10-04,61.92
2010-10-05,2010-10-11,64.92
2010-10-12,2010-10-18,63.52
2010-10-19,2010-10-25,61.94
2010-10-26,2010-11-01,65.18
2010-11-02,2010-11-08,63.24
2010-11-09,2010-11-15,62.12
2010-11-16,2010-11-22,60.92
2010-11-23,2010-11-29,61.74
2010-11-30,2010-12-06,61.12
2010-12-07,2010-12-13,61.19
2010-12-14,2010-12-20,61.45
2010-12-21,2010-12-27,62.14
2010-12-28,2011-01-03,62.22
2011-01-04,2011-01-10,63.43
2011-01-11,2011-01-17,63.5
2011-01-18,2011-01-24,62.41
2011-01-25,2011-01-31,61.5
2011-02-01,2011-02-07,58.35
2011-02-08,2011-02-14,59.1
2011-02-15,2011-02-21,58.28
2011-02-22,2011-02-28,60.56
2011-03-01,2011-03-07,61.27
2011-03-08,2011-03-14,63.12
2011-03-15,2011-03-21,64.29
2011-03-22,2011-03-28,64.11
2011-03-29,2011-04-04,65.0
2011-04-05,2011-04-11,65.61
2011-04-12,2011-04-18,65.71
2011-04-19,2011-04-25,66.31
2011-04-26,2011-05-02,68.32
2011-05-03,2011-05-09,69.0
2011-05-10,2011-05-16,68.98
2011-05-17,2011-05-23,70.23
2011-05-24,2011-05-30,70.78
2011-05-31,2011-06-06,71.01
2011-06-07,2011-06-13,68.72
2011-06-14,2011-06-20,68.11
2011-06-21,2011-06-27,68.4
2011-06-28,2011-07-04,65.21
2011-07-05,2011-07-11,65.31
2011-07-12,2011-07-18,66.75
2011-07-19,2011-07-25,66.05
2011-07-26,2011-08-01,62.97
2011-08-02,2011-08-08,60.03
2011-08-09,2011-08-15,60.05
2011-08-16,2011-08-22,60.16
2011-08-23,2011-08-29,59.88
2011-08-30,2011-09-05,59.26
2011-09-06,2011-09-12,63.05
2011-09-13,2011-09-19,62.08
2011-09-20,2011-09-26,64.09
2011-09-27,2011-10-03,63.45
2011-10-04,2011-10-10,62.35
2011-10-11,2011-10-17,64.6
2011-10-18,2011-10-24,65.85
2011-10-25,2011-10-31,65.54
2011-11-01,2011-11-07,63.88
2011-11-08,2011-11-14,62.95
2011-11-15,2011-11-21,63.18
2011-11-22,2011-11-28,63.91
2011-11-29,2011-12-05,65.58
2011-12-06,2011-12-12,65.86
2011-12-13,2011-12-19,64.07
2011-12-20,2011-12-26,64.18
2011-12-27,2012-01-02,58.87
2012-01-03,2012-01-09,58.47
2012-01-10,2012-01-16,55.03
2012-01-17,2012-01-23,52.33
2012-01-24,2012-01-30,51.22
2012-01-31,2012-02-06,51.25
2012-02-07,2012-02-13,52.2
2012-02-14,2012-02-20,51.94
2012-02-21,2012-02-27,52.02
2012-02-28,2012-03-05,51.83
2012-03-06,2012-03-12,52.12
2012-03-13,2012-03-19,51.24
2012-03-20,2012-03-26,53.05
2012-03-27,2012-04-02,52.75
2012-04-03,2012-04-09,49.67
2012-04-10,2012-04-16,49.04
2012-04-17,2012-04-23,50.23
2012-04-24,2012-04-30,50.25
2012-05-01,2012-05-07,50.33
2012-05-08,2012-05-14,53.01
2012-05-15,2012-05-21,54.12
2012-05-22,2012-05-28,47.83
2012-05-29,2012-06-04,46.4
2012-06-05,2012-06-11,46.4
2012-06-12,2012-06-18,47.62
2012-06-19,2012-06-25,39.42
2012-06-26,2012-07-02,32.89
2012-07-03,2012-07-09,29.29
2012-07-10,2012-07-16,28.3
2012-07-17,2012-07-23,27.62
2012-07-24,2012-07-30,28.19
2012-07-31,2012-08-06,28.77
2012-08-07,2012-08-13,29.81
2012-08-14,2012-08-20,30.19
2012-08-21,2012-08-27,30.53
2012-08-28,2012-09-03,30.18
2012-09-04,2012-09-10,30.37
2012-09-11,2012-09-17,29.48
2012-09-18,2012-09-24,29.8
2012-09-25,2012-10-01,31.1
2012-10-02,2012-10-08,31.69
2012-10-09,2012-10-15,30.99
2012-10-16,2012-10-22,32.45
2012-10-23,2012-10-29,32.98
2012-10-30,2012-11-05,34.22
2012-11-06,2012-11-12,34.48
2012-11-13,2012-11-19,34.54
2012-11-20,2012-11-26,33.44
2012-11-27,2012-12-03,28.81
2012-12-04,2012-12-10,28.65
2012-12-11,2012-12-17,30.56
2012-12-18,2012-12-24,30.65
2012-12-25,2012-12-31,27.68
2013-01-01,2013-01-07,28.56
2013-01-08,2013-01-14,29.45
2013-01-15,2013-01-21,30.78
2013-01-22,2013-01-28,31.09
2013-01-29,2013-02-04,31.13
2013-02-05,2013-02-11,33.76
2013-02-12,2013-02-18,35.49
2013-02-19,2013-02-25,34.7
2013-02-26,2013-03-04,35.09
2013-03-05,2013-03-11,36.44
2013-03-12,2013-03-18,37.93
2013-03-19,2013-03-25,36.59
2013-03-26,2013-04-01,36.76
2013-04-02,2013-04-08,35.37
2013-04-09,2013-04-15,37.06
2013-04-16,2013-04-22,42.03
2013-04-23,2013-04-29,43.26
2013-04-30,2013-05-06,45.16
2013-05-07,2013-05-13,44.17
2013-05-14,2013-05-20,44.75
2013-05-21,2013-05-27,45.41
2013-05-28,2013-06-03,48.81
2013-06-04,2013-06-10,50.44
2013-06-11,2013-06-17,52.04
2013-06-18,2013-06-24,51.87
2013-06-25,2013-07-01,49.4
2013-07-02,2013-07-08,49.39
2013-07-09,2013-07-15,48.14
2013-07-16,2013-07-22,46.45
2013-07-23,2013-07-29,42.47
2013-07-30,2013-08-05,43.36
2013-08-06,2013-08-12,43.22
2013-08-13,2013-08-19,43.31
2013-08-20,2013-08-26,41.08
2013-08-27,2013-09-02,39.1
2013-09-03,2013-09-09,40.33
2013-09-10,2013-09-16,38.63
2013-09-17,2013-09-23,40.85
2013-09-24,2013-09-30,42.64
2013-10-01,2013-10-07,44.21
2013-10-08,2013-10-14,46.44
2013-10-15,2013-10-21,48.95
2013-10-22,2013-10-28,48.79
2013-10-29,2013-11-04,48.03
2013-11-05,2013-11-11,48.65
2013-11-12,2013-11-18,47.89
2013-11-19,2013-11-25,47.08
2013-11-26,2013-12-02,49.23
2013-12-03,2013-12-09,51.11
2013-12-10,2013-12-16,51.08
2013-12-17,2013-12-23,50.16
2013-12-24,2013-12-30,53.03
2013-12-31,2014-01-06,54.2
2014-01-07,2014-01-13,52.89
2014-01-14,2014-01-20,53.97
2014-01-21,2014-01-27,53.3
2014-01-28,2014-02-03,50.89
2014-02-04,2014-02-10,50.64
2014-02-11,2014-02-17,51.55
2014-02-18,2014-02-24,53.44
2014-02-25,2014-03-03,52.69
2014-03-04,2014-03-10,53.22
2014-03-11,2014-03-17,53.96
2014-03-18,2014-03-24,56.47
2014-03-25,2014-03-31,56.07
2014-04-01,2014-04-07,55.31
2014-04-08,2014-04-14,57.99
2014-04-15,2014-04-21,59.04
2014-04-22,2014-04-28,57.61
2014-04-29,2014-05-05,58.7
2014-05-06,2014-05-12,57.15
2014-05-13,2014-05-19,58.73
2014-05-20,2014-05-26,59.66
2014-05-27,2014-06-02,59.47
2014-06-03,2014-06-09,56.43
2014-06-10,2014-06-16,57.95
2014-06-17,2014-06-23,58.64
2014-06-24,2014-06-30,58.58
2014-07-01,2014-07-07,62.81
2014-07-08,2014-07-14,61.91
2014-07-15,2014-07-21,61.98
2014-07-22,2014-07-28,61.3
2014-07-29,2014-08-04,60.2
2014-08-05,2014-08-11,60.19
2014-08-12,2014-08-18,60.54
2014-08-19,2014-08-25,59.8
2014-08-26,2014-09-01,60.07
2014-09-02,2014-09-08,60.84
2014-09-09,2014-09-15,61.46
2014-09-16,2014-09-22,62.13
2014-09-23,2014-09-29,61.81
2014-09-30,2014-10-06,59.89
2014-10-07,2014-10-13,60.65
2014-10-14,2014-10-20,62.83
2014-10-21,2014-10-27,63.34
2014-10-28,2014-11-03,63.64
2014-11-04,2014-11-10,62.16
2014-11-11,2014-11-17,60.89
