domain,column,raw_dtype,raw_missing,nonnumeric_nonmissing,infinite_numeric,used_in_bundle,policy
Energy,Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Energy,Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Energy,Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Energy,Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Energy,Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Energy,Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Energy,Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Energy,start_date,object,0,1622,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Energy,end_date,object,0,1622,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Environment,CBSA,object,0,15979,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Environment,CBSA Code,int64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Environment,date,object,0,15979,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Environment,OT,int64,0,0,0,True,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Environment,Category,object,0,15979,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Environment,Defining Parameter,object,0,15979,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Environment,Defining Site,object,0,15979,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Environment,Number of Sites Reporting,int64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Environment,start_date,object,0,15979,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Environment,end_date,object,0,15979,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_AFR,date,object,0,1461,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_AFR,date.1,object,0,1461,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_AFR,end_date,object,0,1461,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_AFR,OT,float64,3,0,3,True,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,date,object,0,1389,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,start_date,object,0,1389,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,end_date,object,0,1389,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,REGION TYPE,object,0,1389,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,REGION,object,0,1389,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,YEAR,int64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,WEEK,int64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,% WEIGHTED ILI,float64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,OT,float64,0,0,0,True,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,AGE 0-4,int64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,AGE 25-49,object,0,532,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,AGE 25-64,object,0,762,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,AGE 5-24,int64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,AGE 50-64,object,0,532,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,AGE 65,int64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,ILITOTAL,int64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,NUM. OF PROVIDERS,int64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,TOTAL PATIENTS,int64,0,0,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Health_US,YEAR_WEEK,object,0,1389,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Security,date,object,0,309,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Security,OT,int64,0,0,0,True,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Security,start_date,object,0,309,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Security,end_date,object,0,309,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
SocialGood,date,object,0,924,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
SocialGood,start_date,object,0,924,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
SocialGood,end_date,object,0,924,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
SocialGood,OT,float64,8,0,0,True,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Traffic,OT,int64,0,0,0,True,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Traffic,Date,object,0,651,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Traffic,start_date,object,0,651,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Traffic,date,object,0,651,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
Traffic,end_date,object,0,651,0,False,"OT only; other raw columns retained in original snapshot, audited but not converted into features"
