source_bundle_row,origin_id,origin_index,segment,cutoff_time,history_start,segment_lo,segment_hi,package_row,package_partition,horizon_end_index
17,Climate:h4:f2:o69,69,train,2001-05-01T00:00:00,2000-05-02T00:00:00,0,636,17,selection_fit,73
18,Climate:h4:f2:o70,70,train,2001-05-08T00:00:00,2000-05-09T00:00:00,0,636,18,selection_fit,74
19,Climate:h4:f2:o71,71,train,2001-05-15T00:00:00,2000-05-16T00:00:00,0,636,19,selection_fit,75
20,Climate:h4:f2:o72,72,train,2001-05-22T00:00:00,2000-05-23T00:00:00,0,636,20,selection_fit,76
21,Climate:h4:f2:o73,73,train,2001-05-29T00:00:00,2000-05-30T00:00:00,0,636,21,selection_fit,77
22,Climate:h4:f2:o74,74,train,2001-06-05T00:00:00,2000-06-06T00:00:00,0,636,22,selection_fit,78
23,Climate:h4:f2:o75,75,train,2001-06-12T00:00:00,2000-06-13T00:00:00,0,636,23,selection_fit,79
24,Climate:h4:f2:o76,76,train,2001-06-19T00:00:00,2000-06-20T00:00:00,0,636,24,selection_fit,80
25,Climate:h4:f2:o77,77,train,2001-06-26T00:00:00,2000-06-27T00:00:00,0,636,25,selection_fit,81
26,Climate:h4:f2:o78,78,train,2001-07-03T00:00:00,2000-07-04T00:00:00,0,636,26,selection_fit,82
27,Climate:h4:f2:o79,79,train,2001-07-10T00:00:00,2000-07-11T00:00:00,0,636,27,selection_fit,83
28,Climate:h4:f2:o80,80,train,2001-07-17T00:00:00,2000-07-18T00:00:00,0,636,28,selection_fit,84
29,Climate:h4:f2:o81,81,train,2001-07-24T00:00:00,2000-07-25T00:00:00,0,636,29,selection_fit,85
30,Climate:h4:f2:o82,82,train,2001-07-31T00:00:00,2000-08-01T00:00:00,0,636,30,selection_fit,86
31,Climate:h4:f2:o83,83,train,2001-08-07T00:00:00,2000-08-08T00:00:00,0,636,31,selection_fit,87
32,Climate:h4:f2:o84,84,train,2001-08-14T00:00:00,2000-08-15T00:00:00,0,636,32,selection_fit,88
33,Climate:h4:f2:o85,85,train,2001-08-21T00:00:00,2000-08-22T00:00:00,0,636,33,selection_fit,89
34,Climate:h4:f2:o86,86,train,2001-08-28T00:00:00,2000-08-29T00:00:00,0,636,34,selection_fit,90
35,Climate:h4:f2:o87,87,train,2001-09-04T00:00:00,2000-09-05T00:00:00,0,636,35,selection_fit,91
36,Climate:h4:f2:o88,88,train,2001-09-11T00:00:00,2000-09-12T00:00:00,0,636,36,selection_fit,92
37,Climate:h4:f2:o89,89,train,2001-09-18T00:00:00,2000-09-19T00:00:00,0,636,37,selection_fit,93
38,Climate:h4:f2:o90,90,train,2001-09-25T00:00:00,2000-09-26T00:00:00,0,636,38,selection_fit,94
39,Climate:h4:f2:o91,91,train,2001-10-02T00:00:00,2000-10-03T00:00:00,0,636,39,selection_fit,95
40,Climate:h4:f2:o92,92,train,2001-10-09T00:00:00,2000-10-10T00:00:00,0,636,40,selection_fit,96
41,Climate:h4:f2:o93,93,train,2001-10-16T00:00:00,2000-10-17T00:00:00,0,636,41,selection_fit,97
42,Climate:h4:f2:o94,94,train,2001-10-23T00:00:00,2000-10-24T00:00:00,0,636,42,selection_fit,98
43,Climate:h4:f2:o95,95,train,2001-10-30T00:00:00,2000-10-31T00:00:00,0,636,43,selection_fit,99
44,Climate:h4:f2:o96,96,train,2001-11-06T00:00:00,2000-11-07T00:00:00,0,636,44,selection_fit,100
45,Climate:h4:f2:o97,97,train,2001-11-13T00:00:00,2000-11-14T00:00:00,0,636,45,selection_fit,101
46,Climate:h4:f2:o98,98,train,2001-11-20T00:00:00,2000-11-21T00:00:00,0,636,46,selection_fit,102
47,Climate:h4:f2:o99,99,train,2001-11-27T00:00:00,2000-11-28T00:00:00,0,636,47,selection_fit,103
48,Climate:h4:f2:o100,100,train,2001-12-04T00:00:00,2000-12-05T00:00:00,0,636,48,selection_fit,104
49,Climate:h4:f2:o101,101,train,2001-12-11T00:00:00,2000-12-12T00:00:00,0,636,49,selection_fit,105
50,Climate:h4:f2:o102,102,train,2001-12-18T00:00:00,2000-12-19T00:00:00,0,636,50,selection_fit,106
51,Climate:h4:f2:o103,103,train,2001-12-25T00:00:00,2000-12-26T00:00:00,0,636,51,selection_fit,107
52,Climate:h4:f2:o104,104,train,2002-01-01T00:00:00,2001-01-02T00:00:00,0,636,52,selection_fit,108
53,Climate:h4:f2:o105,105,train,2002-01-08T00:00:00,2001-01-09T00:00:00,0,636,53,selection_fit,109
54,Climate:h4:f2:o106,106,train,2002-01-15T00:00:00,2001-01-16T00:00:00,0,636,54,selection_fit,110
55,Climate:h4:f2:o107,107,train,2002-01-22T00:00:00,2001-01-23T00:00:00,0,636,55,selection_fit,111
56,Climate:h4:f2:o108,108,train,2002-01-29T00:00:00,2001-01-30T00:00:00,0,636,56,selection_fit,112
57,Climate:h4:f2:o109,109,train,2002-02-05T00:00:00,2001-02-06T00:00:00,0,636,57,selection_fit,113
58,Climate:h4:f2:o110,110,train,2002-02-12T00:00:00,2001-02-13T00:00:00,0,636,58,selection_fit,114
59,Climate:h4:f2:o111,111,train,2002-02-19T00:00:00,2001-02-20T00:00:00,0,636,59,selection_fit,115
60,Climate:h4:f2:o112,112,train,2002-02-26T00:00:00,2001-02-27T00:00:00,0,636,60,selection_fit,116
61,Climate:h4:f2:o113,113,train,2002-03-05T00:00:00,2001-03-06T00:00:00,0,636,61,selection_fit,117
62,Climate:h4:f2:o114,114,train,2002-03-12T00:00:00,2001-03-13T00:00:00,0,636,62,selection_fit,118
63,Climate:h4:f2:o115,115,train,2002-03-19T00:00:00,2001-03-20T00:00:00,0,636,63,selection_fit,119
64,Climate:h4:f2:o116,116,train,2002-03-26T00:00:00,2001-03-27T00:00:00,0,636,64,selection_fit,120
65,Climate:h4:f2:o117,117,train,2002-04-02T00:00:00,2001-04-03T00:00:00,0,636,65,selection_fit,121
66,Climate:h4:f2:o118,118,train,2002-04-09T00:00:00,2001-04-10T00:00:00,0,636,66,selection_fit,122
67,Climate:h4:f2:o119,119,train,2002-04-16T00:00:00,2001-04-17T00:00:00,0,636,67,selection_fit,123
68,Climate:h4:f2:o120,120,train,2002-04-23T00:00:00,2001-04-24T00:00:00,0,636,68,selection_fit,124
69,Climate:h4:f2:o121,121,train,2002-04-30T00:00:00,2001-05-01T00:00:00,0,636,69,selection_fit,125
70,Climate:h4:f2:o122,122,train,2002-05-07T00:00:00,2001-05-08T00:00:00,0,636,70,selection_fit,126
71,Climate:h4:f2:o123,123,train,2002-05-14T00:00:00,2001-05-15T00:00:00,0,636,71,selection_fit,127
72,Climate:h4:f2:o124,124,train,2002-05-21T00:00:00,2001-05-22T00:00:00,0,636,72,selection_fit,128
73,Climate:h4:f2:o125,125,train,2002-05-28T00:00:00,2001-05-29T00:00:00,0,636,73,selection_fit,129
74,Climate:h4:f2:o126,126,train,2002-06-04T00:00:00,2001-06-05T00:00:00,0,636,74,selection_fit,130
75,Climate:h4:f2:o127,127,train,2002-06-11T00:00:00,2001-06-12T00:00:00,0,636,75,selection_fit,131
76,Climate:h4:f2:o128,128,train,2002-06-18T00:00:00,2001-06-19T00:00:00,0,636,76,selection_fit,132
77,Climate:h4:f2:o129,129,train,2002-06-25T00:00:00,2001-06-26T00:00:00,0,636,77,selection_fit,133
78,Climate:h4:f2:o130,130,train,2002-07-02T00:00:00,2001-07-03T00:00:00,0,636,78,selection_fit,134
79,Climate:h4:f2:o131,131,train,2002-07-09T00:00:00,2001-07-10T00:00:00,0,636,79,selection_fit,135
80,Climate:h4:f2:o132,132,train,2002-07-16T00:00:00,2001-07-17T00:00:00,0,636,80,selection_fit,136
81,Climate:h4:f2:o133,133,train,2002-07-23T00:00:00,2001-07-24T00:00:00,0,636,81,selection_fit,137
82,Climate:h4:f2:o134,134,train,2002-07-30T00:00:00,2001-07-31T00:00:00,0,636,82,selection_fit,138
83,Climate:h4:f2:o135,135,train,2002-08-06T00:00:00,2001-08-07T00:00:00,0,636,83,selection_fit,139
84,Climate:h4:f2:o136,136,train,2002-08-13T00:00:00,2001-08-14T00:00:00,0,636,84,selection_fit,140
85,Climate:h4:f2:o137,137,train,2002-08-20T00:00:00,2001-08-21T00:00:00,0,636,85,selection_fit,141
86,Climate:h4:f2:o138,138,train,2002-08-27T00:00:00,2001-08-28T00:00:00,0,636,86,selection_fit,142
87,Climate:h4:f2:o139,139,train,2002-09-03T00:00:00,2001-09-04T00:00:00,0,636,87,selection_fit,143
88,Climate:h4:f2:o140,140,train,2002-09-10T00:00:00,2001-09-11T00:00:00,0,636,88,selection_fit,144
89,Climate:h4:f2:o141,141,train,2002-09-17T00:00:00,2001-09-18T00:00:00,0,636,89,selection_fit,145
90,Climate:h4:f2:o142,142,train,2002-09-24T00:00:00,2001-09-25T00:00:00,0,636,90,selection_fit,146
91,Climate:h4:f2:o143,143,train,2002-10-01T00:00:00,2001-10-02T00:00:00,0,636,91,selection_fit,147
92,Climate:h4:f2:o144,144,train,2002-10-08T00:00:00,2001-10-09T00:00:00,0,636,92,selection_fit,148
93,Climate:h4:f2:o145,145,train,2002-10-15T00:00:00,2001-10-16T00:00:00,0,636,93,selection_fit,149
94,Climate:h4:f2:o146,146,train,2002-10-22T00:00:00,2001-10-23T00:00:00,0,636,94,selection_fit,150
95,Climate:h4:f2:o147,147,train,2002-10-29T00:00:00,2001-10-30T00:00:00,0,636,95,selection_fit,151
96,Climate:h4:f2:o148,148,train,2002-11-05T00:00:00,2001-11-06T00:00:00,0,636,96,selection_fit,152
97,Climate:h4:f2:o149,149,train,2002-11-12T00:00:00,2001-11-13T00:00:00,0,636,97,selection_fit,153
98,Climate:h4:f2:o150,150,train,2002-11-19T00:00:00,2001-11-20T00:00:00,0,636,98,selection_fit,154
99,Climate:h4:f2:o151,151,train,2002-11-26T00:00:00,2001-11-27T00:00:00,0,636,99,selection_fit,155
100,Climate:h4:f2:o152,152,train,2002-12-03T00:00:00,2001-12-04T00:00:00,0,636,100,selection_fit,156
101,Climate:h4:f2:o153,153,train,2002-12-10T00:00:00,2001-12-11T00:00:00,0,636,101,selection_fit,157
102,Climate:h4:f2:o154,154,train,2002-12-17T00:00:00,2001-12-18T00:00:00,0,636,102,selection_fit,158
103,Climate:h4:f2:o155,155,train,2002-12-24T00:00:00,2001-12-25T00:00:00,0,636,103,selection_fit,159
104,Climate:h4:f2:o156,156,train,2002-12-31T00:00:00,2002-01-01T00:00:00,0,636,104,selection_fit,160
105,Climate:h4:f2:o157,157,train,2003-01-07T00:00:00,2002-01-08T00:00:00,0,636,105,selection_fit,161
106,Climate:h4:f2:o158,158,train,2003-01-14T00:00:00,2002-01-15T00:00:00,0,636,106,selection_fit,162
107,Climate:h4:f2:o159,159,train,2003-01-21T00:00:00,2002-01-22T00:00:00,0,636,107,selection_fit,163
108,Climate:h4:f2:o160,160,train,2003-01-28T00:00:00,2002-01-29T00:00:00,0,636,108,selection_fit,164
109,Climate:h4:f2:o161,161,train,2003-02-04T00:00:00,2002-02-05T00:00:00,0,636,109,selection_fit,165
110,Climate:h4:f2:o162,162,train,2003-02-11T00:00:00,2002-02-12T00:00:00,0,636,110,selection_fit,166
111,Climate:h4:f2:o163,163,train,2003-02-18T00:00:00,2002-02-19T00:00:00,0,636,111,selection_fit,167
112,Climate:h4:f2:o164,164,train,2003-02-25T00:00:00,2002-02-26T00:00:00,0,636,112,selection_fit,168
113,Climate:h4:f2:o165,165,train,2003-03-04T00:00:00,2002-03-05T00:00:00,0,636,113,selection_fit,169
114,Climate:h4:f2:o166,166,train,2003-03-11T00:00:00,2002-03-12T00:00:00,0,636,114,selection_fit,170
115,Climate:h4:f2:o167,167,train,2003-03-18T00:00:00,2002-03-19T00:00:00,0,636,115,selection_fit,171
116,Climate:h4:f2:o168,168,train,2003-03-25T00:00:00,2002-03-26T00:00:00,0,636,116,selection_fit,172
117,Climate:h4:f2:o169,169,train,2003-04-01T00:00:00,2002-04-02T00:00:00,0,636,117,selection_fit,173
118,Climate:h4:f2:o170,170,train,2003-04-08T00:00:00,2002-04-09T00:00:00,0,636,118,selection_fit,174
119,Climate:h4:f2:o171,171,train,2003-04-15T00:00:00,2002-04-16T00:00:00,0,636,119,selection_fit,175
120,Climate:h4:f2:o172,172,train,2003-04-22T00:00:00,2002-04-23T00:00:00,0,636,120,selection_fit,176
121,Climate:h4:f2:o173,173,train,2003-04-29T00:00:00,2002-04-30T00:00:00,0,636,121,selection_fit,177
122,Climate:h4:f2:o174,174,train,2003-05-06T00:00:00,2002-05-07T00:00:00,0,636,122,selection_fit,178
123,Climate:h4:f2:o175,175,train,2003-05-13T00:00:00,2002-05-14T00:00:00,0,636,123,selection_fit,179
124,Climate:h4:f2:o176,176,train,2003-05-20T00:00:00,2002-05-21T00:00:00,0,636,124,selection_fit,180
125,Climate:h4:f2:o177,177,train,2003-05-27T00:00:00,2002-05-28T00:00:00,0,636,125,selection_fit,181
126,Climate:h4:f2:o178,178,train,2003-06-03T00:00:00,2002-06-04T00:00:00,0,636,126,selection_fit,182
127,Climate:h4:f2:o179,179,train,2003-06-10T00:00:00,2002-06-11T00:00:00,0,636,127,selection_fit,183
128,Climate:h4:f2:o180,180,train,2003-06-17T00:00:00,2002-06-18T00:00:00,0,636,128,selection_fit,184
129,Climate:h4:f2:o181,181,train,2003-06-24T00:00:00,2002-06-25T00:00:00,0,636,129,selection_fit,185
130,Climate:h4:f2:o182,182,train,2003-07-01T00:00:00,2002-07-02T00:00:00,0,636,130,selection_fit,186
131,Climate:h4:f2:o183,183,train,2003-07-08T00:00:00,2002-07-09T00:00:00,0,636,131,selection_fit,187
132,Climate:h4:f2:o184,184,train,2003-07-15T00:00:00,2002-07-16T00:00:00,0,636,132,selection_fit,188
133,Climate:h4:f2:o185,185,train,2003-07-22T00:00:00,2002-07-23T00:00:00,0,636,133,selection_fit,189
134,Climate:h4:f2:o186,186,train,2003-07-29T00:00:00,2002-07-30T00:00:00,0,636,134,selection_fit,190
135,Climate:h4:f2:o187,187,train,2003-08-05T00:00:00,2002-08-06T00:00:00,0,636,135,selection_fit,191
136,Climate:h4:f2:o188,188,train,2003-08-12T00:00:00,2002-08-13T00:00:00,0,636,136,selection_fit,192
137,Climate:h4:f2:o189,189,train,2003-08-19T00:00:00,2002-08-20T00:00:00,0,636,137,selection_fit,193
138,Climate:h4:f2:o190,190,train,2003-08-26T00:00:00,2002-08-27T00:00:00,0,636,138,selection_fit,194
139,Climate:h4:f2:o191,191,train,2003-09-02T00:00:00,2002-09-03T00:00:00,0,636,139,selection_fit,195
140,Climate:h4:f2:o192,192,train,2003-09-09T00:00:00,2002-09-10T00:00:00,0,636,140,selection_fit,196
141,Climate:h4:f2:o193,193,train,2003-09-16T00:00:00,2002-09-17T00:00:00,0,636,141,selection_fit,197
142,Climate:h4:f2:o194,194,train,2003-09-23T00:00:00,2002-09-24T00:00:00,0,636,142,selection_fit,198
143,Climate:h4:f2:o195,195,train,2003-09-30T00:00:00,2002-10-01T00:00:00,0,636,143,selection_fit,199
144,Climate:h4:f2:o196,196,train,2003-10-07T00:00:00,2002-10-08T00:00:00,0,636,144,selection_fit,200
145,Climate:h4:f2:o197,197,train,2003-10-14T00:00:00,2002-10-15T00:00:00,0,636,145,selection_fit,201
146,Climate:h4:f2:o198,198,train,2003-10-21T00:00:00,2002-10-22T00:00:00,0,636,146,selection_fit,202
147,Climate:h4:f2:o199,199,train,2003-10-28T00:00:00,2002-10-29T00:00:00,0,636,147,selection_fit,203
148,Climate:h4:f2:o200,200,train,2003-11-04T00:00:00,2002-11-05T00:00:00,0,636,148,selection_fit,204
149,Climate:h4:f2:o201,201,train,2003-11-11T00:00:00,2002-11-12T00:00:00,0,636,149,selection_fit,205
150,Climate:h4:f2:o202,202,train,2003-11-18T00:00:00,2002-11-19T00:00:00,0,636,150,selection_fit,206
151,Climate:h4:f2:o203,203,train,2003-11-25T00:00:00,2002-11-26T00:00:00,0,636,151,selection_fit,207
152,Climate:h4:f2:o204,204,train,2003-12-02T00:00:00,2002-12-03T00:00:00,0,636,152,selection_fit,208
153,Climate:h4:f2:o205,205,train,2003-12-09T00:00:00,2002-12-10T00:00:00,0,636,153,selection_fit,209
154,Climate:h4:f2:o206,206,train,2003-12-16T00:00:00,2002-12-17T00:00:00,0,636,154,selection_fit,210
155,Climate:h4:f2:o207,207,train,2003-12-23T00:00:00,2002-12-24T00:00:00,0,636,155,selection_fit,211
156,Climate:h4:f2:o208,208,train,2003-12-30T00:00:00,2002-12-31T00:00:00,0,636,156,selection_fit,212
157,Climate:h4:f2:o209,209,train,2004-01-06T00:00:00,2003-01-07T00:00:00,0,636,157,selection_fit,213
158,Climate:h4:f2:o210,210,train,2004-01-13T00:00:00,2003-01-14T00:00:00,0,636,158,selection_fit,214
159,Climate:h4:f2:o211,211,train,2004-01-20T00:00:00,2003-01-21T00:00:00,0,636,159,selection_fit,215
160,Climate:h4:f2:o212,212,train,2004-01-27T00:00:00,2003-01-28T00:00:00,0,636,160,selection_fit,216
161,Climate:h4:f2:o213,213,train,2004-02-03T00:00:00,2003-02-04T00:00:00,0,636,161,selection_fit,217
162,Climate:h4:f2:o214,214,train,2004-02-10T00:00:00,2003-02-11T00:00:00,0,636,162,selection_fit,218
163,Climate:h4:f2:o215,215,train,2004-02-17T00:00:00,2003-02-18T00:00:00,0,636,163,selection_fit,219
164,Climate:h4:f2:o216,216,train,2004-02-24T00:00:00,2003-02-25T00:00:00,0,636,164,selection_fit,220
165,Climate:h4:f2:o217,217,train,2004-03-02T00:00:00,2003-03-04T00:00:00,0,636,165,selection_fit,221
166,Climate:h4:f2:o218,218,train,2004-03-09T00:00:00,2003-03-11T00:00:00,0,636,166,selection_fit,222
167,Climate:h4:f2:o219,219,train,2004-03-16T00:00:00,2003-03-18T00:00:00,0,636,167,selection_fit,223
168,Climate:h4:f2:o220,220,train,2004-03-23T00:00:00,2003-03-25T00:00:00,0,636,168,selection_fit,224
169,Climate:h4:f2:o221,221,train,2004-03-30T00:00:00,2003-04-01T00:00:00,0,636,169,selection_fit,225
170,Climate:h4:f2:o222,222,train,2004-04-06T00:00:00,2003-04-08T00:00:00,0,636,170,selection_fit,226
171,Climate:h4:f2:o223,223,train,2004-04-13T00:00:00,2003-04-15T00:00:00,0,636,171,selection_fit,227
172,Climate:h4:f2:o224,224,train,2004-04-20T00:00:00,2003-04-22T00:00:00,0,636,172,selection_fit,228
173,Climate:h4:f2:o225,225,train,2004-04-27T00:00:00,2003-04-29T00:00:00,0,636,173,selection_fit,229
174,Climate:h4:f2:o226,226,train,2004-05-04T00:00:00,2003-05-06T00:00:00,0,636,174,selection_fit,230
175,Climate:h4:f2:o227,227,train,2004-05-11T00:00:00,2003-05-13T00:00:00,0,636,175,selection_fit,231
176,Climate:h4:f2:o228,228,train,2004-05-18T00:00:00,2003-05-20T00:00:00,0,636,176,selection_fit,232
177,Climate:h4:f2:o229,229,train,2004-05-25T00:00:00,2003-05-27T00:00:00,0,636,177,selection_fit,233
178,Climate:h4:f2:o230,230,train,2004-06-01T00:00:00,2003-06-03T00:00:00,0,636,178,selection_fit,234
179,Climate:h4:f2:o231,231,train,2004-06-08T00:00:00,2003-06-10T00:00:00,0,636,179,selection_fit,235
180,Climate:h4:f2:o232,232,train,2004-06-15T00:00:00,2003-06-17T00:00:00,0,636,180,selection_fit,236
181,Climate:h4:f2:o233,233,train,2004-06-22T00:00:00,2003-06-24T00:00:00,0,636,181,selection_fit,237
182,Climate:h4:f2:o234,234,train,2004-06-29T00:00:00,2003-07-01T00:00:00,0,636,182,selection_fit,238
183,Climate:h4:f2:o235,235,train,2004-07-06T00:00:00,2003-07-08T00:00:00,0,636,183,selection_fit,239
184,Climate:h4:f2:o236,236,train,2004-07-13T00:00:00,2003-07-15T00:00:00,0,636,184,selection_fit,240
185,Climate:h4:f2:o237,237,train,2004-07-20T00:00:00,2003-07-22T00:00:00,0,636,185,selection_fit,241
186,Climate:h4:f2:o238,238,train,2004-07-27T00:00:00,2003-07-29T00:00:00,0,636,186,selection_fit,242
187,Climate:h4:f2:o239,239,train,2004-08-03T00:00:00,2003-08-05T00:00:00,0,636,187,selection_fit,243
188,Climate:h4:f2:o240,240,train,2004-08-10T00:00:00,2003-08-12T00:00:00,0,636,188,selection_fit,244
189,Climate:h4:f2:o241,241,train,2004-08-17T00:00:00,2003-08-19T00:00:00,0,636,189,selection_fit,245
190,Climate:h4:f2:o242,242,train,2004-08-24T00:00:00,2003-08-26T00:00:00,0,636,190,selection_fit,246
191,Climate:h4:f2:o243,243,train,2004-08-31T00:00:00,2003-09-02T00:00:00,0,636,191,selection_fit,247
192,Climate:h4:f2:o244,244,train,2004-09-07T00:00:00,2003-09-09T00:00:00,0,636,192,selection_fit,248
193,Climate:h4:f2:o245,245,train,2004-09-14T00:00:00,2003-09-16T00:00:00,0,636,193,selection_fit,249
194,Climate:h4:f2:o246,246,train,2004-09-21T00:00:00,2003-09-23T00:00:00,0,636,194,selection_fit,250
195,Climate:h4:f2:o247,247,train,2004-09-28T00:00:00,2003-09-30T00:00:00,0,636,195,selection_fit,251
196,Climate:h4:f2:o248,248,train,2004-10-05T00:00:00,2003-10-07T00:00:00,0,636,196,selection_fit,252
197,Climate:h4:f2:o249,249,train,2004-10-12T00:00:00,2003-10-14T00:00:00,0,636,197,selection_fit,253
198,Climate:h4:f2:o250,250,train,2004-10-19T00:00:00,2003-10-21T00:00:00,0,636,198,selection_fit,254
199,Climate:h4:f2:o251,251,train,2004-10-26T00:00:00,2003-10-28T00:00:00,0,636,199,selection_fit,255
200,Climate:h4:f2:o252,252,train,2004-11-02T00:00:00,2003-11-04T00:00:00,0,636,200,selection_fit,256
201,Climate:h4:f2:o253,253,train,2004-11-09T00:00:00,2003-11-11T00:00:00,0,636,201,selection_fit,257
202,Climate:h4:f2:o254,254,train,2004-11-16T00:00:00,2003-11-18T00:00:00,0,636,202,selection_fit,258
203,Climate:h4:f2:o255,255,train,2004-11-23T00:00:00,2003-11-25T00:00:00,0,636,203,selection_fit,259
204,Climate:h4:f2:o256,256,train,2004-11-30T00:00:00,2003-12-02T00:00:00,0,636,204,selection_fit,260
205,Climate:h4:f2:o257,257,train,2004-12-07T00:00:00,2003-12-09T00:00:00,0,636,205,selection_fit,261
206,Climate:h4:f2:o258,258,train,2004-12-14T00:00:00,2003-12-16T00:00:00,0,636,206,selection_fit,262
207,Climate:h4:f2:o259,259,train,2004-12-21T00:00:00,2003-12-23T00:00:00,0,636,207,selection_fit,263
208,Climate:h4:f2:o260,260,train,2004-12-28T00:00:00,2003-12-30T00:00:00,0,636,208,selection_fit,264
209,Climate:h4:f2:o261,261,train,2005-01-04T00:00:00,2004-01-06T00:00:00,0,636,209,selection_fit,265
210,Climate:h4:f2:o262,262,train,2005-01-11T00:00:00,2004-01-13T00:00:00,0,636,210,selection_fit,266
211,Climate:h4:f2:o263,263,train,2005-01-18T00:00:00,2004-01-20T00:00:00,0,636,211,selection_fit,267
212,Climate:h4:f2:o264,264,train,2005-01-25T00:00:00,2004-01-27T00:00:00,0,636,212,selection_fit,268
213,Climate:h4:f2:o265,265,train,2005-02-01T00:00:00,2004-02-03T00:00:00,0,636,213,selection_fit,269
214,Climate:h4:f2:o266,266,train,2005-02-08T00:00:00,2004-02-10T00:00:00,0,636,214,selection_fit,270
215,Climate:h4:f2:o267,267,train,2005-02-15T00:00:00,2004-02-17T00:00:00,0,636,215,selection_fit,271
216,Climate:h4:f2:o268,268,train,2005-02-22T00:00:00,2004-02-24T00:00:00,0,636,216,selection_fit,272
217,Climate:h4:f2:o269,269,train,2005-03-01T00:00:00,2004-03-02T00:00:00,0,636,217,selection_fit,273
218,Climate:h4:f2:o270,270,train,2005-03-08T00:00:00,2004-03-09T00:00:00,0,636,218,selection_fit,274
219,Climate:h4:f2:o271,271,train,2005-03-15T00:00:00,2004-03-16T00:00:00,0,636,219,selection_fit,275
220,Climate:h4:f2:o272,272,train,2005-03-22T00:00:00,2004-03-23T00:00:00,0,636,220,selection_fit,276
221,Climate:h4:f2:o273,273,train,2005-03-29T00:00:00,2004-03-30T00:00:00,0,636,221,selection_fit,277
222,Climate:h4:f2:o274,274,train,2005-04-05T00:00:00,2004-04-06T00:00:00,0,636,222,selection_fit,278
223,Climate:h4:f2:o275,275,train,2005-04-12T00:00:00,2004-04-13T00:00:00,0,636,223,selection_fit,279
224,Climate:h4:f2:o276,276,train,2005-04-19T00:00:00,2004-04-20T00:00:00,0,636,224,selection_fit,280
225,Climate:h4:f2:o277,277,train,2005-04-26T00:00:00,2004-04-27T00:00:00,0,636,225,selection_fit,281
226,Climate:h4:f2:o278,278,train,2005-05-03T00:00:00,2004-05-04T00:00:00,0,636,226,selection_fit,282
227,Climate:h4:f2:o279,279,train,2005-05-10T00:00:00,2004-05-11T00:00:00,0,636,227,selection_fit,283
228,Climate:h4:f2:o280,280,train,2005-05-17T00:00:00,2004-05-18T00:00:00,0,636,228,selection_fit,284
229,Climate:h4:f2:o281,281,train,2005-05-24T00:00:00,2004-05-25T00:00:00,0,636,229,selection_fit,285
230,Climate:h4:f2:o282,282,train,2005-05-31T00:00:00,2004-06-01T00:00:00,0,636,230,selection_fit,286
231,Climate:h4:f2:o283,283,train,2005-06-07T00:00:00,2004-06-08T00:00:00,0,636,231,selection_fit,287
232,Climate:h4:f2:o284,284,train,2005-06-14T00:00:00,2004-06-15T00:00:00,0,636,232,selection_fit,288
233,Climate:h4:f2:o285,285,train,2005-06-21T00:00:00,2004-06-22T00:00:00,0,636,233,selection_fit,289
234,Climate:h4:f2:o286,286,train,2005-06-28T00:00:00,2004-06-29T00:00:00,0,636,234,selection_fit,290
