numerical_row,start_date,end_date,delta_days_from_previous,missing_weeks_before,duplicate_start,ordered_after_previous,interval_days_inclusive
70,2001-05-08,2001-05-14,7.0,0,0,1,7
71,2001-05-15,2001-05-21,7.0,0,0,1,7
72,2001-05-22,2001-05-28,7.0,0,0,1,7
73,2001-05-29,2001-06-04,7.0,0,0,1,7
74,2001-06-05,2001-06-11,7.0,0,0,1,7
75,2001-06-12,2001-06-18,7.0,0,0,1,7
76,2001-06-19,2001-06-25,7.0,0,0,1,7
77,2001-06-26,2001-07-02,7.0,0,0,1,7
78,2001-07-03,2001-07-09,7.0,0,0,1,7
79,2001-07-10,2001-07-16,7.0,0,0,1,7
80,2001-07-17,2001-07-23,7.0,0,0,1,7
81,2001-07-24,2001-07-30,7.0,0,0,1,7
82,2001-07-31,2001-08-06,7.0,0,0,1,7
83,2001-08-07,2001-08-13,7.0,0,0,1,7
84,2001-08-14,2001-08-20,7.0,0,0,1,7
85,2001-08-21,2001-08-27,7.0,0,0,1,7
86,2001-08-28,2001-09-03,7.0,0,0,1,7
87,2001-09-04,2001-09-10,7.0,0,0,1,7
88,2001-09-11,2001-09-17,7.0,0,0,1,7
89,2001-09-18,2001-09-24,7.0,0,0,1,7
90,2001-09-25,2001-10-01,7.0,0,0,1,7
91,2001-10-02,2001-10-08,7.0,0,0,1,7
92,2001-10-09,2001-10-15,7.0,0,0,1,7
93,2001-10-16,2001-10-22,7.0,0,0,1,7
94,2001-10-23,2001-10-29,7.0,0,0,1,7
95,2001-10-30,2001-11-05,7.0,0,0,1,7
96,2001-11-06,2001-11-12,7.0,0,0,1,7
97,2001-11-13,2001-11-19,7.0,0,0,1,7
98,2001-11-20,2001-11-26,7.0,0,0,1,7
99,2001-11-27,2001-12-03,7.0,0,0,1,7
100,2001-12-04,2001-12-10,7.0,0,0,1,7
101,2001-12-11,2001-12-17,7.0,0,0,1,7
102,2001-12-18,2001-12-24,7.0,0,0,1,7
103,2001-12-25,2001-12-31,7.0,0,0,1,7
104,2002-01-01,2002-01-07,7.0,0,0,1,7
105,2002-01-08,2002-01-14,7.0,0,0,1,7
106,2002-01-15,2002-01-21,7.0,0,0,1,7
107,2002-01-22,2002-01-28,7.0,0,0,1,7
108,2002-01-29,2002-02-04,7.0,0,0,1,7
109,2002-02-05,2002-02-11,7.0,0,0,1,7
110,2002-02-12,2002-02-18,7.0,0,0,1,7
111,2002-02-19,2002-02-25,7.0,0,0,1,7
112,2002-02-26,2002-03-04,7.0,0,0,1,7
113,2002-03-05,2002-03-11,7.0,0,0,1,7
114,2002-03-12,2002-03-18,7.0,0,0,1,7
115,2002-03-19,2002-03-25,7.0,0,0,1,7
116,2002-03-26,2002-04-01,7.0,0,0,1,7
117,2002-04-02,2002-04-08,7.0,0,0,1,7
118,2002-04-09,2002-04-15,7.0,0,0,1,7
119,2002-04-16,2002-04-22,7.0,0,0,1,7
120,2002-04-23,2002-04-29,7.0,0,0,1,7
121,2002-04-30,2002-05-06,7.0,0,0,1,7
122,2002-05-07,2002-05-13,7.0,0,0,1,7
123,2002-05-14,2002-05-20,7.0,0,0,1,7
124,2002-05-21,2002-05-27,7.0,0,0,1,7
125,2002-05-28,2002-06-03,7.0,0,0,1,7
126,2002-06-04,2002-06-10,7.0,0,0,1,7
127,2002-06-11,2002-06-17,7.0,0,0,1,7
128,2002-06-18,2002-06-24,7.0,0,0,1,7
129,2002-06-25,2002-07-01,7.0,0,0,1,7
130,2002-07-02,2002-07-08,7.0,0,0,1,7
131,2002-07-09,2002-07-15,7.0,0,0,1,7
132,2002-07-16,2002-07-22,7.0,0,0,1,7
133,2002-07-23,2002-07-29,7.0,0,0,1,7
134,2002-07-30,2002-08-05,7.0,0,0,1,7
135,2002-08-06,2002-08-12,7.0,0,0,1,7
136,2002-08-13,2002-08-19,7.0,0,0,1,7
137,2002-08-20,2002-08-26,7.0,0,0,1,7
138,2002-08-27,2002-09-02,7.0,0,0,1,7
139,2002-09-03,2002-09-09,7.0,0,0,1,7
140,2002-09-10,2002-09-16,7.0,0,0,1,7
141,2002-09-17,2002-09-23,7.0,0,0,1,7
142,2002-09-24,2002-09-30,7.0,0,0,1,7
143,2002-10-01,2002-10-07,7.0,0,0,1,7
144,2002-10-08,2002-10-14,7.0,0,0,1,7
145,2002-10-15,2002-10-21,7.0,0,0,1,7
146,2002-10-22,2002-10-28,7.0,0,0,1,7
147,2002-10-29,2002-11-04,7.0,0,0,1,7
148,2002-11-05,2002-11-11,7.0,0,0,1,7
149,2002-11-12,2002-11-18,7.0,0,0,1,7
150,2002-11-19,2002-11-25,7.0,0,0,1,7
151,2002-11-26,2002-12-02,7.0,0,0,1,7
152,2002-12-03,2002-12-09,7.0,0,0,1,7
153,2002-12-10,2002-12-16,7.0,0,0,1,7
154,2002-12-17,2002-12-23,7.0,0,0,1,7
155,2002-12-24,2002-12-30,7.0,0,0,1,7
156,2002-12-31,2003-01-06,7.0,0,0,1,7
157,2003-01-07,2003-01-13,7.0,0,0,1,7
158,2003-01-14,2003-01-20,7.0,0,0,1,7
159,2003-01-21,2003-01-27,7.0,0,0,1,7
160,2003-01-28,2003-02-03,7.0,0,0,1,7
161,2003-02-04,2003-02-10,7.0,0,0,1,7
162,2003-02-11,2003-02-17,7.0,0,0,1,7
163,2003-02-18,2003-02-24,7.0,0,0,1,7
164,2003-02-25,2003-03-03,7.0,0,0,1,7
165,2003-03-04,2003-03-10,7.0,0,0,1,7
166,2003-03-11,2003-03-17,7.0,0,0,1,7
167,2003-03-18,2003-03-24,7.0,0,0,1,7
168,2003-03-25,2003-03-31,7.0,0,0,1,7
169,2003-04-01,2003-04-07,7.0,0,0,1,7
170,2003-04-08,2003-04-14,7.0,0,0,1,7
171,2003-04-15,2003-04-21,7.0,0,0,1,7
172,2003-04-22,2003-04-28,7.0,0,0,1,7
173,2003-04-29,2003-05-05,7.0,0,0,1,7
174,2003-05-06,2003-05-12,7.0,0,0,1,7
175,2003-05-13,2003-05-19,7.0,0,0,1,7
176,2003-05-20,2003-05-26,7.0,0,0,1,7
177,2003-05-27,2003-06-02,7.0,0,0,1,7
178,2003-06-03,2003-06-09,7.0,0,0,1,7
179,2003-06-10,2003-06-16,7.0,0,0,1,7
180,2003-06-17,2003-06-23,7.0,0,0,1,7
181,2003-06-24,2003-06-30,7.0,0,0,1,7
182,2003-07-01,2003-07-07,7.0,0,0,1,7
183,2003-07-08,2003-07-14,7.0,0,0,1,7
184,2003-07-15,2003-07-21,7.0,0,0,1,7
185,2003-07-22,2003-07-28,7.0,0,0,1,7
186,2003-07-29,2003-08-04,7.0,0,0,1,7
187,2003-08-05,2003-08-11,7.0,0,0,1,7
188,2003-08-12,2003-08-18,7.0,0,0,1,7
189,2003-08-19,2003-08-25,7.0,0,0,1,7
190,2003-08-26,2003-09-01,7.0,0,0,1,7
191,2003-09-02,2003-09-08,7.0,0,0,1,7
192,2003-09-09,2003-09-15,7.0,0,0,1,7
193,2003-09-16,2003-09-22,7.0,0,0,1,7
194,2003-09-23,2003-09-29,7.0,0,0,1,7
195,2003-09-30,2003-10-06,7.0,0,0,1,7
196,2003-10-07,2003-10-13,7.0,0,0,1,7
197,2003-10-14,2003-10-20,7.0,0,0,1,7
198,2003-10-21,2003-10-27,7.0,0,0,1,7
199,2003-10-28,2003-11-03,7.0,0,0,1,7
200,2003-11-04,2003-11-10,7.0,0,0,1,7
201,2003-11-11,2003-11-17,7.0,0,0,1,7
202,2003-11-18,2003-11-24,7.0,0,0,1,7
203,2003-11-25,2003-12-01,7.0,0,0,1,7
204,2003-12-02,2003-12-08,7.0,0,0,1,7
205,2003-12-09,2003-12-15,7.0,0,0,1,7
206,2003-12-16,2003-12-22,7.0,0,0,1,7
207,2003-12-23,2003-12-29,7.0,0,0,1,7
208,2003-12-30,2004-01-05,7.0,0,0,1,7
209,2004-01-06,2004-01-12,7.0,0,0,1,7
210,2004-01-13,2004-01-19,7.0,0,0,1,7
211,2004-01-20,2004-01-26,7.0,0,0,1,7
212,2004-01-27,2004-02-02,7.0,0,0,1,7
213,2004-02-03,2004-02-09,7.0,0,0,1,7
214,2004-02-10,2004-02-16,7.0,0,0,1,7
215,2004-02-17,2004-02-23,7.0,0,0,1,7
216,2004-02-24,2004-03-01,7.0,0,0,1,7
217,2004-03-02,2004-03-08,7.0,0,0,1,7
218,2004-03-09,2004-03-15,7.0,0,0,1,7
219,2004-03-16,2004-03-22,7.0,0,0,1,7
220,2004-03-23,2004-03-29,7.0,0,0,1,7
221,2004-03-30,2004-04-05,7.0,0,0,1,7
222,2004-04-06,2004-04-12,7.0,0,0,1,7
223,2004-04-13,2004-04-19,7.0,0,0,1,7
224,2004-04-20,2004-04-26,7.0,0,0,1,7
225,2004-04-27,2004-05-03,7.0,0,0,1,7
226,2004-05-04,2004-05-10,7.0,0,0,1,7
227,2004-05-11,2004-05-17,7.0,0,0,1,7
228,2004-05-18,2004-05-24,7.0,0,0,1,7
229,2004-05-25,2004-05-31,7.0,0,0,1,7
230,2004-06-01,2004-06-07,7.0,0,0,1,7
231,2004-06-08,2004-06-14,7.0,0,0,1,7
232,2004-06-15,2004-06-21,7.0,0,0,1,7
233,2004-06-22,2004-06-28,7.0,0,0,1,7
234,2004-06-29,2004-07-05,7.0,0,0,1,7
235,2004-07-06,2004-07-12,7.0,0,0,1,7
236,2004-07-13,2004-07-19,7.0,0,0,1,7
237,2004-07-20,2004-07-26,7.0,0,0,1,7
238,2004-07-27,2004-08-02,7.0,0,0,1,7
239,2004-08-03,2004-08-09,7.0,0,0,1,7
240,2004-08-10,2004-08-16,7.0,0,0,1,7
241,2004-08-17,2004-08-23,7.0,0,0,1,7
242,2004-08-24,2004-08-30,7.0,0,0,1,7
243,2004-08-31,2004-09-06,7.0,0,0,1,7
244,2004-09-07,2004-09-13,7.0,0,0,1,7
245,2004-09-14,2004-09-20,7.0,0,0,1,7
246,2004-09-21,2004-09-27,7.0,0,0,1,7
247,2004-09-28,2004-10-04,7.0,0,0,1,7
248,2004-10-05,2004-10-11,7.0,0,0,1,7
249,2004-10-12,2004-10-18,7.0,0,0,1,7
250,2004-10-19,2004-10-25,7.0,0,0,1,7
251,2004-10-26,2004-11-01,7.0,0,0,1,7
252,2004-11-02,2004-11-08,7.0,0,0,1,7
253,2004-11-09,2004-11-15,7.0,0,0,1,7
254,2004-11-16,2004-11-22,7.0,0,0,1,7
255,2004-11-23,2004-11-29,7.0,0,0,1,7
256,2004-11-30,2004-12-06,7.0,0,0,1,7
257,2004-12-07,2004-12-13,7.0,0,0,1,7
258,2004-12-14,2004-12-20,7.0,0,0,1,7
259,2004-12-21,2004-12-27,7.0,0,0,1,7
260,2004-12-28,2005-01-03,7.0,0,0,1,7
261,2005-01-04,2005-01-10,7.0,0,0,1,7
262,2005-01-11,2005-01-17,7.0,0,0,1,7
263,2005-01-18,2005-01-24,7.0,0,0,1,7
264,2005-01-25,2005-01-31,7.0,0,0,1,7
265,2005-02-01,2005-02-07,7.0,0,0,1,7
266,2005-02-08,2005-02-14,7.0,0,0,1,7
267,2005-02-15,2005-02-21,7.0,0,0,1,7
268,2005-02-22,2005-02-28,7.0,0,0,1,7
269,2005-03-01,2005-03-07,7.0,0,0,1,7
270,2005-03-08,2005-03-14,7.0,0,0,1,7
271,2005-03-15,2005-03-21,7.0,0,0,1,7
272,2005-03-22,2005-03-28,7.0,0,0,1,7
273,2005-03-29,2005-04-04,7.0,0,0,1,7
274,2005-04-05,2005-04-11,7.0,0,0,1,7
275,2005-04-12,2005-04-18,7.0,0,0,1,7
276,2005-04-19,2005-04-25,7.0,0,0,1,7
277,2005-04-26,2005-05-02,7.0,0,0,1,7
278,2005-05-03,2005-05-09,7.0,0,0,1,7
279,2005-05-10,2005-05-16,7.0,0,0,1,7
280,2005-05-17,2005-05-23,7.0,0,0,1,7
281,2005-05-24,2005-05-30,7.0,0,0,1,7
282,2005-05-31,2005-06-06,7.0,0,0,1,7
283,2005-06-07,2005-06-13,7.0,0,0,1,7
284,2005-06-14,2005-06-20,7.0,0,0,1,7
285,2005-06-21,2005-06-27,7.0,0,0,1,7
286,2005-06-28,2005-07-04,7.0,0,0,1,7
287,2005-07-05,2005-07-11,7.0,0,0,1,7
288,2005-07-12,2005-07-18,7.0,0,0,1,7
289,2005-07-19,2005-07-25,7.0,0,0,1,7
290,2005-07-26,2005-08-01,7.0,0,0,1,7
291,2005-08-02,2005-08-08,7.0,0,0,1,7
292,2005-08-09,2005-08-15,7.0,0,0,1,7
293,2005-08-16,2005-08-22,7.0,0,0,1,7
294,2005-08-23,2005-08-29,7.0,0,0,1,7
295,2005-08-30,2005-09-05,7.0,0,0,1,7
296,2005-09-06,2005-09-12,7.0,0,0,1,7
297,2005-09-13,2005-09-19,7.0,0,0,1,7
298,2005-09-20,2005-09-26,7.0,0,0,1,7
299,2005-09-27,2005-10-03,7.0,0,0,1,7
300,2005-10-04,2005-10-10,7.0,0,0,1,7
301,2005-10-11,2005-10-17,7.0,0,0,1,7
302,2005-10-18,2005-10-24,7.0,0,0,1,7
303,2005-10-25,2005-10-31,7.0,0,0,1,7
304,2005-11-01,2005-11-07,7.0,0,0,1,7
305,2005-11-08,2005-11-14,7.0,0,0,1,7
306,2005-11-15,2005-11-21,7.0,0,0,1,7
307,2005-11-22,2005-11-28,7.0,0,0,1,7
308,2005-11-29,2005-12-05,7.0,0,0,1,7
309,2005-12-06,2005-12-12,7.0,0,0,1,7
310,2005-12-13,2005-12-19,7.0,0,0,1,7
311,2005-12-20,2005-12-26,7.0,0,0,1,7
312,2005-12-27,2006-01-02,7.0,0,0,1,7
313,2006-01-03,2006-01-09,7.0,0,0,1,7
314,2006-01-10,2006-01-16,7.0,0,0,1,7
315,2006-01-17,2006-01-23,7.0,0,0,1,7
316,2006-01-24,2006-01-30,7.0,0,0,1,7
317,2006-01-31,2006-02-06,7.0,0,0,1,7
318,2006-02-07,2006-02-13,7.0,0,0,1,7
319,2006-02-14,2006-02-20,7.0,0,0,1,7
320,2006-02-21,2006-02-27,7.0,0,0,1,7
321,2006-02-28,2006-03-06,7.0,0,0,1,7
322,2006-03-07,2006-03-13,7.0,0,0,1,7
323,2006-03-14,2006-03-20,7.0,0,0,1,7
324,2006-03-21,2006-03-27,7.0,0,0,1,7
325,2006-03-28,2006-04-03,7.0,0,0,1,7
326,2006-04-04,2006-04-10,7.0,0,0,1,7
327,2006-04-11,2006-04-17,7.0,0,0,1,7
328,2006-04-18,2006-04-24,7.0,0,0,1,7
329,2006-04-25,2006-05-01,7.0,0,0,1,7
330,2006-05-02,2006-05-08,7.0,0,0,1,7
331,2006-05-09,2006-05-15,7.0,0,0,1,7
332,2006-05-16,2006-05-22,7.0,0,0,1,7
333,2006-05-23,2006-05-29,7.0,0,0,1,7
334,2006-05-30,2006-06-05,7.0,0,0,1,7
335,2006-06-06,2006-06-12,7.0,0,0,1,7
336,2006-06-13,2006-06-19,7.0,0,0,1,7
337,2006-06-20,2006-06-26,7.0,0,0,1,7
338,2006-06-27,2006-07-03,7.0,0,0,1,7
339,2006-07-04,2006-07-10,7.0,0,0,1,7
340,2006-07-11,2006-07-17,7.0,0,0,1,7
341,2006-07-18,2006-07-24,7.0,0,0,1,7
342,2006-07-25,2006-07-31,7.0,0,0,1,7
343,2006-08-01,2006-08-07,7.0,0,0,1,7
344,2006-08-08,2006-08-14,7.0,0,0,1,7
345,2006-08-15,2006-08-21,7.0,0,0,1,7
346,2006-08-22,2006-08-28,7.0,0,0,1,7
347,2006-08-29,2006-09-04,7.0,0,0,1,7
348,2006-09-05,2006-09-11,7.0,0,0,1,7
349,2006-09-12,2006-09-18,7.0,0,0,1,7
350,2006-09-19,2006-09-25,7.0,0,0,1,7
351,2006-09-26,2006-10-02,7.0,0,0,1,7
352,2006-10-03,2006-10-09,7.0,0,0,1,7
353,2006-10-10,2006-10-16,7.0,0,0,1,7
354,2006-10-17,2006-10-23,7.0,0,0,1,7
355,2006-10-24,2006-10-30,7.0,0,0,1,7
356,2006-10-31,2006-11-06,7.0,0,0,1,7
357,2006-11-07,2006-11-13,7.0,0,0,1,7
358,2006-11-14,2006-11-20,7.0,0,0,1,7
359,2006-11-21,2006-11-27,7.0,0,0,1,7
360,2006-11-28,2006-12-04,7.0,0,0,1,7
361,2006-12-05,2006-12-11,7.0,0,0,1,7
362,2006-12-12,2006-12-18,7.0,0,0,1,7
363,2006-12-19,2006-12-25,7.0,0,0,1,7
364,2006-12-26,2007-01-01,7.0,0,0,1,7
365,2007-01-02,2007-01-08,7.0,0,0,1,7
366,2007-01-09,2007-01-15,7.0,0,0,1,7
367,2007-01-16,2007-01-22,7.0,0,0,1,7
368,2007-01-23,2007-01-29,7.0,0,0,1,7
369,2007-01-30,2007-02-05,7.0,0,0,1,7
370,2007-02-06,2007-02-12,7.0,0,0,1,7
371,2007-02-13,2007-02-19,7.0,0,0,1,7
372,2007-02-20,2007-02-26,7.0,0,0,1,7
373,2007-02-27,2007-03-05,7.0,0,0,1,7
374,2007-03-06,2007-03-12,7.0,0,0,1,7
375,2007-03-13,2007-03-19,7.0,0,0,1,7
376,2007-03-20,2007-03-26,7.0,0,0,1,7
377,2007-03-27,2007-04-02,7.0,0,0,1,7
378,2007-04-03,2007-04-09,7.0,0,0,1,7
379,2007-04-10,2007-04-16,7.0,0,0,1,7
380,2007-04-17,2007-04-23,7.0,0,0,1,7
381,2007-04-24,2007-04-30,7.0,0,0,1,7
382,2007-05-01,2007-05-07,7.0,0,0,1,7
383,2007-05-08,2007-05-14,7.0,0,0,1,7
384,2007-05-15,2007-05-21,7.0,0,0,1,7
385,2007-05-22,2007-05-28,7.0,0,0,1,7
386,2007-05-29,2007-06-04,7.0,0,0,1,7
387,2007-06-05,2007-06-11,7.0,0,0,1,7
388,2007-06-12,2007-06-18,7.0,0,0,1,7
389,2007-06-19,2007-06-25,7.0,0,0,1,7
390,2007-06-26,2007-07-02,7.0,0,0,1,7
391,2007-07-03,2007-07-09,7.0,0,0,1,7
392,2007-07-10,2007-07-16,7.0,0,0,1,7
393,2007-07-17,2007-07-23,7.0,0,0,1,7
394,2007-07-24,2007-07-30,7.0,0,0,1,7
395,2007-07-31,2007-08-06,7.0,0,0,1,7
396,2007-08-07,2007-08-13,7.0,0,0,1,7
397,2007-08-14,2007-08-20,7.0,0,0,1,7
398,2007-08-21,2007-08-27,7.0,0,0,1,7
399,2007-08-28,2007-09-03,7.0,0,0,1,7
400,2007-09-04,2007-09-10,7.0,0,0,1,7
401,2007-09-11,2007-09-17,7.0,0,0,1,7
402,2007-09-18,2007-09-24,7.0,0,0,1,7
403,2007-09-25,2007-10-01,7.0,0,0,1,7
404,2007-10-02,2007-10-08,7.0,0,0,1,7
405,2007-10-09,2007-10-15,7.0,0,0,1,7
406,2007-10-16,2007-10-22,7.0,0,0,1,7
407,2007-10-23,2007-10-29,7.0,0,0,1,7
408,2007-10-30,2007-11-05,7.0,0,0,1,7
409,2007-11-06,2007-11-12,7.0,0,0,1,7
410,2007-11-13,2007-11-19,7.0,0,0,1,7
411,2007-11-20,2007-11-26,7.0,0,0,1,7
412,2007-11-27,2007-12-03,7.0,0,0,1,7
413,2007-12-04,2007-12-10,7.0,0,0,1,7
414,2007-12-11,2007-12-17,7.0,0,0,1,7
415,2007-12-18,2007-12-24,7.0,0,0,1,7
416,2007-12-25,2007-12-31,7.0,0,0,1,7
417,2008-01-01,2008-01-07,7.0,0,0,1,7
418,2008-01-08,2008-01-14,7.0,0,0,1,7
419,2008-01-15,2008-01-21,7.0,0,0,1,7
420,2008-01-22,2008-01-28,7.0,0,0,1,7
421,2008-01-29,2008-02-04,7.0,0,0,1,7
422,2008-02-05,2008-02-11,7.0,0,0,1,7
423,2008-02-12,2008-02-18,7.0,0,0,1,7
424,2008-02-19,2008-02-25,7.0,0,0,1,7
425,2008-02-26,2008-03-03,7.0,0,0,1,7
426,2008-03-04,2008-03-10,7.0,0,0,1,7
427,2008-03-11,2008-03-17,7.0,0,0,1,7
428,2008-03-18,2008-03-24,7.0,0,0,1,7
429,2008-03-25,2008-03-31,7.0,0,0,1,7
430,2008-04-01,2008-04-07,7.0,0,0,1,7
431,2008-04-08,2008-04-14,7.0,0,0,1,7
432,2008-04-15,2008-04-21,7.0,0,0,1,7
433,2008-04-22,2008-04-28,7.0,0,0,1,7
434,2008-04-29,2008-05-05,7.0,0,0,1,7
435,2008-05-06,2008-05-12,7.0,0,0,1,7
436,2008-05-13,2008-05-19,7.0,0,0,1,7
437,2008-05-20,2008-05-26,7.0,0,0,1,7
438,2008-05-27,2008-06-02,7.0,0,0,1,7
439,2008-06-03,2008-06-09,7.0,0,0,1,7
440,2008-06-10,2008-06-16,7.0,0,0,1,7
441,2008-06-17,2008-06-23,7.0,0,0,1,7
442,2008-06-24,2008-06-30,7.0,0,0,1,7
443,2008-07-01,2008-07-07,7.0,0,0,1,7
444,2008-07-08,2008-07-14,7.0,0,0,1,7
445,2008-07-15,2008-07-21,7.0,0,0,1,7
446,2008-07-22,2008-07-28,7.0,0,0,1,7
447,2008-07-29,2008-08-04,7.0,0,0,1,7
448,2008-08-05,2008-08-11,7.0,0,0,1,7
449,2008-08-12,2008-08-18,7.0,0,0,1,7
450,2008-08-19,2008-08-25,7.0,0,0,1,7
451,2008-08-26,2008-09-01,7.0,0,0,1,7
452,2008-09-02,2008-09-08,7.0,0,0,1,7
453,2008-09-09,2008-09-15,7.0,0,0,1,7
454,2008-09-16,2008-09-22,7.0,0,0,1,7
455,2008-09-23,2008-09-29,7.0,0,0,1,7
456,2008-09-30,2008-10-06,7.0,0,0,1,7
457,2008-10-07,2008-10-13,7.0,0,0,1,7
458,2008-10-14,2008-10-20,7.0,0,0,1,7
459,2008-10-21,2008-10-27,7.0,0,0,1,7
460,2008-10-28,2008-11-03,7.0,0,0,1,7
461,2008-11-04,2008-11-10,7.0,0,0,1,7
462,2008-11-11,2008-11-17,7.0,0,0,1,7
463,2008-11-18,2008-11-24,7.0,0,0,1,7
464,2008-11-25,2008-12-01,7.0,0,0,1,7
465,2008-12-02,2008-12-08,7.0,0,0,1,7
466,2008-12-09,2008-12-15,7.0,0,0,1,7
467,2008-12-16,2008-12-22,7.0,0,0,1,7
468,2008-12-23,2008-12-29,7.0,0,0,1,7
469,2008-12-30,2009-01-05,7.0,0,0,1,7
470,2009-01-06,2009-01-12,7.0,0,0,1,7
471,2009-01-13,2009-01-19,7.0,0,0,1,7
472,2009-01-20,2009-01-26,7.0,0,0,1,7
473,2009-01-27,2009-02-02,7.0,0,0,1,7
474,2009-02-03,2009-02-09,7.0,0,0,1,7
475,2009-02-10,2009-02-16,7.0,0,0,1,7
476,2009-02-17,2009-02-23,7.0,0,0,1,7
477,2009-02-24,2009-03-02,7.0,0,0,1,7
478,2009-03-03,2009-03-09,7.0,0,0,1,7
479,2009-03-10,2009-03-16,7.0,0,0,1,7
480,2009-03-17,2009-03-23,7.0,0,0,1,7
481,2009-03-24,2009-03-30,7.0,0,0,1,7
482,2009-03-31,2009-04-06,7.0,0,0,1,7
483,2009-04-07,2009-04-13,7.0,0,0,1,7
484,2009-04-14,2009-04-20,7.0,0,0,1,7
485,2009-04-21,2009-04-27,7.0,0,0,1,7
486,2009-04-28,2009-05-04,7.0,0,0,1,7
487,2009-05-05,2009-05-11,7.0,0,0,1,7
488,2009-05-12,2009-05-18,7.0,0,0,1,7
489,2009-05-19,2009-05-25,7.0,0,0,1,7
490,2009-05-26,2009-06-01,7.0,0,0,1,7
491,2009-06-02,2009-06-08,7.0,0,0,1,7
492,2009-06-09,2009-06-15,7.0,0,0,1,7
493,2009-06-16,2009-06-22,7.0,0,0,1,7
494,2009-06-23,2009-06-29,7.0,0,0,1,7
